"clust.class","Freq"
"1",14381
"2",3
"3",1
"4",1
"5",1
"6",1
"7",1
"8",1
"9",4
"10",1
"11",1
"12",40
"13",2
"14",4
"15",19
"16",2
"17",13
"18",2
"19",1
"20",6
"21",1
"22",1
"23",2
"24",1
"25",3
"26",1
"27",1
"28",1
"29",1
"30",1
"31",1
"32",1
"33",1
"34",1
"35",1
"36",1
"37",1
"38",1
"39",1
"40",1
"41",2
