"","ID","Cluster","Silo","D3","D5","D7","D9","D11","D13","Entry"
"49","CHOYP_PAN2.1.1.m.44691",26,"9",441.7236,0.1,0.1,296.0909,964.1086,0.1,"Q25381"
"50","CHOYP_PAN2.1.1.m.44691",16,"3",507.825,0.1,479.97415,0.1,300.49035,0.1,"Q25381"
"51","CHOYP_RS3A.4.15.m.15367",20,"9",162.87345,182.7894,173.63305,88.90715,171.7772,0.1,"P49395"
"52","CHOYP_RS3A.4.15.m.15367",1,"3",137.98365,88.8072,97.0305,87.3261,172.1084,25.15805,"P49395"
"53","CHOYP_TAGL3.1.1.m.31031",2,"3",284.47355,273.5725,236.9143,269.42295,339.82105,264.21265,"P37805"
"54","CHOYP_TAGL3.1.1.m.31031",7,"9",317.2425,280.77695,257.51455,361.24375,467.86335,423.168,"P37805"
"55","CHOYP_TBA.1.6.m.12217",17,"3",544.12625,198.43425,143.3838,112.79015,16.7105,280.26985,"None"
"56","CHOYP_TBA.1.6.m.12217",1,"9",34.45415,140.54485,183.0576,83.7,50.3576,0.1,"None"
"57","CHOYP_TBB4B.1.7.m.12262",28,"9",575.2672,265.15795,367.6797,401.77685,635.2697,567.3892,"Q07972"
"58","CHOYP_TBB4B.1.7.m.12262",19,"3",333.21015,548.0101,588.66265,448.0418,315.0938,435.76855,"Q07972"
"59","CHOYP_TBB4B.7.7.m.63980",2,"9",261.08445,359.34275,260.92085,285.65025,176.5041,192.195,"None"
"60","CHOYP_TBB4B.7.7.m.63980",7,"3",428.7215,242.1056,247.93235,220.68445,384.00315,308.5597,"None"
"61","CHOYP_TRIADDRAFT_57086.1.1.m.25271",7,"3",358.1622,350.48735,254.32635,353.78955,218.18475,321.19135,"Q6C0Y0"
"62","CHOYP_TRIADDRAFT_57086.1.1.m.25271",3,"9",303.20255,370.01345,259.1985,229.80995,270.9148,478.2411,"Q6C0Y0"
"63","CHOYP_VOLCADRAFT_93060.2.2.m.26741",4,"3",508.734,251.0703,211.39365,230.9109,251.0353,185.57225,"P81262"
"64","CHOYP_VOLCADRAFT_93060.2.2.m.26741",2,"9",284.42,182.0209,166.2589,183.36395,193.93855,157.5121,"P81262"
