"clust.class","Freq"
"1",2
"2",1
"3",6
"4",1
"5",1
"6",1
"7",4
"8",36
"9",1
"10",2
"11",156
"12",2
"13",2
"14",1
"15",1
"16",16624
"17",1
"18",1
"19",1
"20",2
"21",2
"22",1
"23",1
"24",1
"25",1
"26",1
"27",1
"28",1
"29",1
"30",1
"31",1
