"Cluster","Silo","ID","D0","D3","D5","D7","D9","D11","D13"
2,"3","CHOYP_ACT.23.27.m.58454",234.6437,134.8912,110.9911,196.87485,99.3946,249.49095,264.21735
13,"3","CHOYP_ACT.5.27.m.15585",0.1,563.3507,0.1,0.1,0.1,0.1,0.1
14,"3","CHOYP_ACT.6.27.m.15622",0.1,0.1,0.1,334.28085,0.1,0.1,425.9015
3,"3","CHOYP_ACT3.3.3.m.66907",325.8941,174.55785,303.09585,180.14175,225.2547,275.60495,375.32195
2,"3","CHOYP_CATB.1.2.m.5440",247.83465,255.9161,212.4263,148.92775,135.00225,204.8425,176.3398
3,"3","CHOYP_EIF5A.1.3.m.22684",202.0064,352.3577,380.49725,273.24535,269.13555,363.8985,240.5233
1,"3","CHOYP_ENO.1.2.m.7681",154.4307,168.42915,156.00445,141.5826,161.44515,205.88405,186.4109
1,"3","CHOYP_HSP7D.2.3.m.34782",114.974,126.9403,171.74285,117.95255,168.5778,207.90135,160.4684
2,"3","CHOYP_LDLR.6.7.m.57984",75.22025,81.71735,156.55645,204.01965,345.0764,207.1013,136.1998
15,"3","CHOYP_LOC100890099.1.1.m.11505",328.4778,0.1,0.1,0.1,399.37935,0.1,0.1
9,"3","CHOYP_LOC101169658.2.3.m.20752",3.40875,8.2151,58.0008,188.02175,212.2051,371.88895,343.9124
1,"3","CHOYP_LOC101173335.4.4.m.49816",182.6314,74.04785,57.98815,58.2571,163.1489,183.0191,168.2268
12,"3","CHOYP_LOC752782.1.1.m.53937",0.1,255.1912,439.6172,0.1,0.1,0.1,0.1
17,"3","CHOYP_LOC754102.1.1.m.57578",727.5924,194.2018,196.68555,413.94255,166.4163,215.3891,99.74995
1,"3","CHOYP_MYS.4.7.m.18188",141.88085,162.82165,168.01925,164.15425,158.0989,178.9106,180.6226
10,"3","CHOYP_MYSP.1.9.m.1097",364.6204,79.74485,47.1293,188.0331,99.6236,250.0452,132.43355
