"Cluster","Silo","ID","D0","D3","D5","D7","D9","D11","D13"
3,"3","CHOYP_14332.1.2.m.5643",98.67095,87.46525,51.67795,48.27415,109.9708,111.02715,162.26925
1,"3","CHOYP_14332.2.2.m.61737",103.18375,146.11925,170.54605,139.14475,102.87765,118.33735,128.35305
2,"3","CHOYP_2AAA.1.1.m.13306",60.4283,56.65525,59.7722,62.86495,66.0077,68.3992,70.76645
13,"3","CHOYP_ABCF2.1.2.m.28362",381.0581,288.97795,407.59395,396.1436,435.95605,311.6036,459.05795
35,"3","CHOYP_ACT.23.27.m.58454",234.6437,134.8912,110.9911,196.87485,99.3946,249.49095,264.21735
30,"3","CHOYP_ACT.5.27.m.15585",0.1,563.3507,0.1,0.1,0.1,0.1,0.1
32,"3","CHOYP_ACT.6.27.m.15622",0.1,0.1,0.1,334.28085,0.1,0.1,425.9015
34,"3","CHOYP_ACT3.3.3.m.66907",325.8941,174.55785,303.09585,180.14175,225.2547,275.60495,375.32195
3,"3","CHOYP_ACT3A.1.1.m.25943",54.5923,60.1365,45.42865,63.8368,72.1798,72.37645,88.0521
2,"3","CHOYP_ARPC2.1.1.m.50573",53.82485,45.1604,53.70485,47.8054,48.2853,49.23485,71.47735
5,"3","CHOYP_ATPB.1.1.m.21960",228.9379,242.47065,226.10965,249.1503,261.6795,246.55255,212.2842
13,"3","CHOYP_BRAFLDRAFT_114866.4.5.m.35627",421.346,273.6752,321.98585,333.60405,341.1687,320.24755,446.31735
1,"3","CHOYP_BRAFLDRAFT_125880.1.3.m.7081",91.68575,134.3781,150.779,146.5397,130.8136,108.5873,95.23765
12,"3","CHOYP_BRAFLDRAFT_127065.6.7.m.30727",332.54005,542.66385,314.21385,114.6228,78.76765,71.96685,66.4537
2,"3","CHOYP_BRAFLDRAFT_204736.2.2.m.63327",65.56065,39.43645,64.6181,62.9981,65.4556,51.7511,78.2177
