"Cluster","Silo","ID","D0","D3","D5","D7","D9","D11","D13"
69,"3","CHOYP_CDPK5.1.1.m.6214",116.35095,157.4112,338.81155,341.3615,204.79915,317.1796,253.7249
15,"3","CHOYP_CDPKM.1.1.m.58179",19.3581,18.67065,18.8455,51.90815,15.9278,21.0641,82.2763
4,"3","CHOYP_CG14207.1.1.m.41523",38.3905,55.4782,37.2575,41.91785,45.10245,74.5586,47.32665
2,"3","CHOYP_CHM4B.1.1.m.19057",29.0549,25.9809,28.2401,27.47935,27.76035,24.91765,22.02975
2,"3","CHOYP_CHRD1.1.1.m.42143",18.6948,24.56145,29.72515,27.6745,31.499,37.16035,31.5936
4,"3","CHOYP_CNE_1C34780.3.3.m.30615",9.5424,12.2537,52.56195,61.6566,62.12285,34.81115,38.03565
2,"3","CHOYP_CNOT1.1.1.m.12106",42.2851,56.51065,0.1,0.1,0.1,46.04915,38.9402
4,"3","CHOYP_contig_001305.m.1337",25.1287,37.65575,37.91445,26.91515,28.5896,47.2314,53.7166
2,"3","CHOYP_contig_004993.m.5721",7.97005,3.89935,11.653,36.67355,24.71695,17.3834,47.60125
4,"3","CHOYP_contig_008261.m.9575",63.66895,58.2711,0.1,0.1,0.1,0.1,0.1
2,"3","CHOYP_contig_012079.m.13839",35.73675,34.433,31.16845,25.59485,18.18305,23.2777,33.21895
2,"3","CHOYP_contig_013806.m.15731",19.60775,14.1574,19.1538,25.10425,30.5735,21.52825,19.5179
2,"3","CHOYP_contig_015341.m.17864",40.3242,35.363,32.18075,29.8027,22.4991,32.1125,29.223
2,"3","CHOYP_contig_015430.m.17979",10.7172,25.77015,46.67735,40.90535,27.60065,14.6308,10.6547
68,"3","CHOYP_contig_016567.m.19514",0.1,0.1,42.10795,127.9715,63.0281,104.33765,149.413
4,"3","CHOYP_contig_020392.m.23606",8.20625,11.94025,23.78775,54.3481,67.06115,22.43385,0.1
3,"3","CHOYP_contig_024697.m.28081",98.2029,71.8899,49.5134,96.2059,93.08755,34.15735,62.60275
4,"3","CHOYP_contig_026477.m.30166",61.0133,54.27575,2.298,0.1,0.1,0.1,0.1
3,"3","CHOYP_contig_026567.m.30260",48.3691,50.82965,68.1513,99.0282,122.09425,95.75455,110.86825
4,"3","CHOYP_contig_027060.m.30790",50.35635,52.93005,62.2567,60.725,49.37275,84.8698,69.9012
2,"3","CHOYP_contig_032947.m.37658",51.3146,19.7671,19.9101,10.46685,5.23375,22.3731,54.4775
2,"3","CHOYP_contig_034847.m.39553",10.9687,19.82605,26.5776,32.20435,24.07915,29.9858,25.48575
2,"3","CHOYP_contig_038921.m.44081",0.1,10.26365,31.0138,21.94525,32.85105,11.6168,14.1432
4,"3","CHOYP_contig_040577.m.46077",41.7878,20.14005,20.3744,10.73185,14.20455,0.1,18.4915
69,"3","CHOYP_contig_041958.m.48141",118.6971,125.73595,288.43815,334.24525,248.58245,288.91665,225.8463
2,"3","CHOYP_contig_044503.m.51534",18.23465,21.75,14.31295,15.94635,13.34255,13.25555,6.91645
2,"3","CHOYP_contig_052416.m.62821",0.1,11.2181,45.0557,30.9179,2.48275,2.6226,0.1
1,"3","CHOYP_COX5B.3.3.m.38557",105.7597,126.0457,108.05475,136.332,117.173,124.41615,110.85495
4,"3","CHOYP_CYB5.1.2.m.2195",19.6327,30.30065,38.1257,40.23805,40.3843,25.70525,46.94915
26,"3","CHOYP_CYC.1.5.m.5663",26.8026,43.04125,43.35265,82.0466,128.57835,160.82765,177.9305
17,"3","CHOYP_DGRI_GH15313.1.1.m.5763",202.51515,198.74295,170.5402,167.68795,164.93495,195.6335,278.968
4,"3","CHOYP_DGRI_GH20300.1.1.m.57587",14.4634,24.427,28.01625,40.56585,25.98925,55.16755,33.6532
4,"3","CHOYP_DLAT.1.1.m.64812",60.9257,63.9854,62.3258,69.97825,61.6978,72.3133,72.241
4,"3","CHOYP_DNPH1.1.1.m.28418",60.84315,61.70075,62.22855,55.4788,55.7884,55.9629,59.51585
4,"3","CHOYP_DSIM_GD24875.1.1.m.66201",22.78395,56.49475,60.04015,23.2102,13.3981,0.1,0.1
3,"3","CHOYP_DVIR_GJ21252.1.1.m.10086",114.45085,107.76365,95.9049,90.3221,101.67625,102.25095,103.584
13,"3","CHOYP_DVIR_GJ23521.1.1.m.2757",220.6699,191.80265,109.4146,203.12225,155.92475,156.1862,143.62275
4,"3","CHOYP_EEF2.1.2.m.44025",30.92245,35.199,35.5101,37.1346,49.18625,21.50615,18.6703
27,"3","CHOYP_EF1A.2.4.m.50858",559.1337,592.91925,671.2199,625.9092,638.5678,813.5562,814.2211
2,"3","CHOYP_EF1A.3.4.m.63413",1.1787,32.494,42.88455,12.7023,19.57775,31.6226,16.44455
4,"3","CHOYP_EF1A.3.4.m.63416",65.7693,56.6984,70.77655,52.78715,71.05765,48.9272,55.16865
28,"3","CHOYP_EF2.4.5.m.30186",87.2947,138.03715,197.80085,175.81705,273.92685,248.0131,198.03735
3,"3","CHOYP_EIF3I.1.1.m.56504",50.78125,50.4617,50.81045,61.54145,68.47115,79.479,65.33785
