"ID","Cluster","Silo","D0","D3","D5","D7","D9","D11","D13","Gene.names"
"CHOYP_AAEL_AAEL000057.1.1.m.36013",1,"3",0.1,0.1,0.1,0.1,1.1123,0.1,0.1,"Tl CG5490"
"CHOYP_AAEL_AAEL001424.1.1.m.40785",1,"3",3.70335,3.57015,3.5403,3.69785,0.1,3.9702,0.1,"IMMP2L"
"CHOYP_AAEL_AAEL001424.1.1.m.40785",1,"9",3.70335,7.41505,3.9992,0.1,0.1,0.1,3.7249,"IMMP2L"
"CHOYP_AAEL_AAEL001503.1.1.m.10649",1,"3",1.13035,0.1,0.1,0.58935,0.1,0.6456,0.1,"Slc9a2 Nhe2"
"CHOYP_AAEL_AAEL001503.1.1.m.10649",1,"9",1.13035,0.59975,0.1,0.1,0.6183,0.1,0.1,"Slc9a2 Nhe2"
"CHOYP_AAEL_AAEL001706.1.1.m.43821",1,"3",15.9918,20.5274,15.4391,16.2009,5.4331,0.1,21.20695,"NXT2 RCJMB04_6d20"
"CHOYP_AAEL_AAEL001706.1.1.m.43821",1,"9",15.9918,10.83735,17.4764,19.40905,0.1,0.1,10.792,"NXT2 RCJMB04_6d20"
"CHOYP_AAEL_AAEL002456.1.1.m.35591",1,"3",0.1,0.1,5.00105,1.02535,2.90915,0.56845,1.24545,"Rsph4a Rshl3"
"CHOYP_AAEL_AAEL002456.1.1.m.35591",1,"9",0.1,3.8174,2.5556,2.8412,4.472,2.57985,4.18445,"Rsph4a Rshl3"
"CHOYP_AAEL_AAEL002467.1.2.m.47358",1,"9",0.1,0.1,0.1,0.1,3.88755,19.9135,0.1,"None"
"CHOYP_AAEL_AAEL002467.1.2.m.47358",1,"3",0.1,0.1,0.1,0.1,0.1,0.1,0.1,"None"
"CHOYP_AAEL_AAEL003539.1.1.m.16619",1,"9",17.9827,10.28455,4.97205,8.2022,11.87425,13.61015,11.20655,"Tbl1xr1 Ira1 Tblr1"
"CHOYP_AAEL_AAEL003539.1.1.m.16619",1,"3",17.9827,12.99095,9.82795,8.00355,10.4145,9.86895,4.4737,"Tbl1xr1 Ira1 Tblr1"
"CHOYP_AAEL_AAEL003853.1.2.m.39529",1,"3",0.1,0.1,0.1,0.1,0.1,1.05045,0.1,"Kirrel2 Neph3"
"CHOYP_AAEL_AAEL003853.1.2.m.39529",1,"9",0.1,0.1,0.1,1.14225,0.1,0.1,0.1,"Kirrel2 Neph3"
"CHOYP_AAEL_AAEL004399.1.1.m.3003",1,"9",0.7424,1.40535,0.1,0.1,0.1,0.1,0.1,"FSHR"
"CHOYP_AAEL_AAEL004399.1.1.m.3003",1,"3",0.7424,0.1,0.7291,0.1,1.42,0.1,1.83405,"FSHR"
"CHOYP_AAEL_AAEL004839.1.1.m.13815",1,"9",1.57585,0.1,0.1,1.00085,0.1,0.1,0.1,"Ccnt2"
"CHOYP_AAEL_AAEL004839.1.1.m.13815",1,"3",1.57585,1.51835,0.1,0.1,0.1,0.1,0.1,"Ccnt2"
"CHOYP_AAEL_AAEL005197.1.1.m.59507",1,"3",4.4514,4.2962,5.76485,6.0612,4.6054,6.478,5.9173,"RRAGC"
"CHOYP_AAEL_AAEL005197.1.1.m.59507",1,"9",4.4514,9.0564,6.5269,5.4116,4.71455,8.1683,4.4272,"RRAGC"
"CHOYP_AAEL_AAEL006854.1.1.m.13363",1,"3",120.5623,127.065,102.29885,88.5072,85.2191,90.18245,130.09005,"NPC2"
"CHOYP_AAEL_AAEL006854.1.1.m.13363",1,"9",120.5623,115.0526,107.6493,109.6728,95.5835,99.59595,97.6351,"NPC2"
