"","Silo3","Silo9"
"1277","CHOYP_G6PD.2.2.m.46923.725","CHOYP_G6PD.2.2.m.46923.3.746"
"1278","CHOYP_1433G.2.2.m.63450.86","CHOYP_G6PD.2.2.m.46923.2.141"
"1279","CHOYP_G6PD.2.2.m.46923.726","CHOYP_FYN.1.1.m.44312.104"
"1280","CHOYP_G6PD.2.2.m.46923.727","CHOYP_ALF.3.3.m.66837.97"
"1281","CHOYP_G6PD.2.2.m.46923.728","CHOYP_G6PD.2.2.m.46923.3.747"
"1282","CHOYP_G6PD.2.2.m.46923.729","CHOYP_ALF.3.3.m.66837.98"
"1283","CHOYP_G6PD.2.2.m.46923.730","CHOYP_G6PD.2.2.m.46923.3.748"
"1284","CHOYP_G6PD.2.2.m.46923.731","CHOYP_G6PD.2.2.m.46923.3.749"
"1285","CHOYP_FYN.1.1.m.44312.189","CHOYP_G6PD.2.2.m.46923.3.750"
"1286","CHOYP_FYN.1.1.m.44312.190","CHOYP_G6PD.2.2.m.46923.3.751"
"1287","CHOYP_FUT8.1.1.m.9231.111","CHOYP_FYN.1.1.m.44312.105"
"1288","CHOYP_G6PD.2.2.m.46923.732","CHOYP_G6PD.2.2.m.46923.2.142"
"1289","CHOYP_G6PD.2.2.m.46923.733","CHOYP_G6PD.2.2.m.46923.3.752"
"1290","CHOYP_ALF.3.3.m.66837.92","CHOYP_G6PD.2.2.m.46923.3.753"
"1291","CHOYP_G6PD.2.2.m.46923.734","CHOYP_ALF.3.3.m.66837.99"
"1292","CHOYP_G6PD.2.2.m.46923.735","CHOYP_G6PD.2.2.m.46923.3.754"
"1293","CHOYP_FYN.1.1.m.44312.191","CHOYP_G6PD.2.2.m.46923.3.755"
"1294","CHOYP_FUT8.1.1.m.9231.112","CHOYP_G6PD.2.2.m.46923.3.756"
"1295","CHOYP_G6PD.2.2.m.46923.736","CHOYP_G6PD.2.2.m.46923.3.757"
"1296","CHOYP_G6PD.2.2.m.46923.737","CHOYP_ALF.3.3.m.66837.100"
"1297","CHOYP_FYN.1.1.m.44312.192","CHOYP_G6PD.2.2.m.46923.1.92"
"1298","CHOYP_G6PD.2.2.m.46923.738","CHOYP_FYN.1.1.m.44312.106"
"1299","CHOYP_ALF.3.3.m.66837.93","CHOYP_G6PD.2.2.m.46923.3.758"
"1300","CHOYP_G6PD.2.2.m.46923.739","CHOYP_G6PD.2.2.m.46923.3.759"
"1301","CHOYP_G6PD.2.2.m.46923.740","CHOYP_G6PD.2.2.m.46923.3.760"
"1302","CHOYP_ALF.3.3.m.66837.94","CHOYP_G6PD.2.2.m.46923.99"
"1303","CHOYP_ALF.3.3.m.66837.95","CHOYP_G6PD.2.2.m.46923.3.761"
"1304","CHOYP_ALF.3.3.m.66837.96","CHOYP_G6PD.2.2.m.46923.3.762"
"1305","CHOYP_G6PD.2.2.m.46923.741","CHOYP_G6PD.2.2.m.46923.100"
"1306","CHOYP_G6PD.2.2.m.46923.742","CHOYP_ALF.3.3.m.66837.101"
"1307","CHOYP_G6PD.2.2.m.46923.743","CHOYP_G6PD.2.2.m.46923.2.143"
"1308","CHOYP_FUT8.1.1.m.9231.113","CHOYP_G6PD.2.2.m.46923.1.93"
"1309","CHOYP_G6PD.2.2.m.46923.744","CHOYP_G6PD.2.2.m.46923.1.94"
"1310","CHOYP_G6PD.2.2.m.46923.745","CHOYP_G6PD.2.2.m.46923.3.763"
"1311","CHOYP_AADAT.1.1.m.12672.73","CHOYP_ALF.3.3.m.66837.102"
"1312","CHOYP_1433G.2.2.m.63450.87","CHOYP_G6PD.2.2.m.46923.2.144"
"1313","CHOYP_G6PD.2.2.m.46923.746","CHOYP_G6PD.2.2.m.46923.3.764"
"1314","CHOYP_FYN.1.1.m.44312.193","CHOYP_G6PD.2.2.m.46923.3.765"
"1315","CHOYP_1433G.2.2.m.63450.88","CHOYP_FYN.1.1.m.44312.107"
"1316","CHOYP_G6PD.2.2.m.46923.747","CHOYP_G6PD.2.2.m.46923.3.766"
"1317","CHOYP_FUT8.1.1.m.9231.114","CHOYP_G6PD.2.2.m.46923.3.767"
"1318","CHOYP_G6PD.2.2.m.46923.748","CHOYP_G6PD.2.2.m.46923.3.768"
"1319","CHOYP_G6PD.2.2.m.46923.749","CHOYP_G6PD.2.2.m.46923.3.769"
"1320","CHOYP_1433G.2.2.m.63450.89","CHOYP_G6PD.2.2.m.46923.3.770"
"1321","CHOYP_G6PD.2.2.m.46923.750","CHOYP_G6PD.2.2.m.46923.3.771"
"1322","CHOYP_FUT8.1.1.m.9231.115","CHOYP_G6PD.2.2.m.46923.101"
"1323","CHOYP_G6PD.2.2.m.46923.751","CHOYP_G6PD.2.2.m.46923.3.772"
"1324","CHOYP_G6PD.2.2.m.46923.752","CHOYP_G6PD.2.2.m.46923.102"
"1325","CHOYP_G6PD.2.2.m.46923.753","CHOYP_G6PD.2.2.m.46923.3.773"
"1326","CHOYP_G6PD.2.2.m.46923.754","CHOYP_G6PD.2.2.m.46923.3.774"
"1327","CHOYP_G6PD.2.2.m.46923.755","CHOYP_G6PD.2.2.m.46923.1.95"
"1328","CHOYP_G6PD.2.2.m.46923.756","CHOYP_G6PD.2.2.m.46923.3.775"
"1329","CHOYP_AADAT.1.1.m.12672.74","CHOYP_ALF.3.3.m.66837.103"
"1330","CHOYP_G6PD.2.2.m.46923.757","CHOYP_FYN.1.1.m.44312.108"
"1331","CHOYP_ALF.3.3.m.66837.97","CHOYP_G6PD.2.2.m.46923.2.145"
"1332","CHOYP_G6PD.2.2.m.46923.758","CHOYP_G6PD.2.2.m.46923.3.776"
"1333","CHOYP_G6PD.2.2.m.46923.759","CHOYP_G6PD.2.2.m.46923.3.777"
"1334","CHOYP_AADAT.1.1.m.12672.75","CHOYP_G6PD.2.2.m.46923.2.146"
"1335","CHOYP_G6PD.2.2.m.46923.760","CHOYP_FYN.1.1.m.44312.109"
"1336","CHOYP_FUT8.1.1.m.9231.116","CHOYP_G6PD.2.2.m.46923.3.778"
"1337","CHOYP_ALF.3.3.m.66837.98","CHOYP_G6PD.2.2.m.46923.3.779"
"1338","CHOYP_G6PD.2.2.m.46923.761","CHOYP_G6PD.2.2.m.46923.3.780"
"1339","CHOYP_G6PD.2.2.m.46923.762","CHOYP_G6PD.2.2.m.46923.3.781"
"1340","CHOYP_G6PD.2.2.m.46923.763","CHOYP_G6PD.2.2.m.46923.3.782"
"1341","CHOYP_FYN.1.1.m.44312.194","CHOYP_G6PD.2.2.m.46923.3.783"
"1342","CHOYP_FUT8.1.1.m.9231.117","CHOYP_G6PD.2.2.m.46923.3.784"
"1343","CHOYP_G6PD.2.2.m.46923.764","CHOYP_G6PD.2.2.m.46923.2.147"
"1344","CHOYP_FYN.1.1.m.44312.195","CHOYP_G6PD.2.2.m.46923.3.785"
"1345","CHOYP_FYN.1.1.m.44312.196","CHOYP_G6PD.2.2.m.46923.3.786"
"1346","CHOYP_G6PD.2.2.m.46923.765","CHOYP_G6PD.2.2.m.46923.2.148"
"1347","CHOYP_G6PD.2.2.m.46923.766","CHOYP_G6PD.2.2.m.46923.3.787"
"1348","CHOYP_G6PD.2.2.m.46923.767","CHOYP_G6PD.2.2.m.46923.3.788"
"1349","CHOYP_G6PD.2.2.m.46923.768","CHOYP_G6PD.2.2.m.46923.3.789"
"1350","CHOYP_G6PD.2.2.m.46923.769","CHOYP_G6PD.2.2.m.46923.2.149"
"1351","CHOYP_FYN.1.1.m.44312.197","CHOYP_G6PD.2.2.m.46923.3.790"
"1352","CHOYP_G6PD.2.2.m.46923.770","CHOYP_G6PD.2.2.m.46923.3.791"
"1353","CHOYP_FYN.1.1.m.44312.198","CHOYP_G6PD.2.2.m.46923.103"
"1354","CHOYP_G6PD.2.2.m.46923.771","CHOYP_G6PD.2.2.m.46923.3.792"
"1355","CHOYP_G6PD.2.2.m.46923.772","CHOYP_G6PD.2.2.m.46923.2.150"
"1356","CHOYP_G6PD.2.2.m.46923.773","CHOYP_G6PD.2.2.m.46923.104"
"1357","CHOYP_FYN.1.1.m.44312.199","CHOYP_G6PD.2.2.m.46923.3.793"
"1358","CHOYP_G6PD.2.2.m.46923.774","CHOYP_FYN.1.1.m.44312.110"
"1359","CHOYP_G6PD.2.2.m.46923.775","CHOYP_G6PD.2.2.m.46923.1.96"
"1360","CHOYP_AADAT.1.1.m.12672.76","CHOYP_FYN.1.1.m.44312.111"
"1361","CHOYP_G6PD.2.2.m.46923.776","CHOYP_G6PD.2.2.m.46923.3.794"
"1362","CHOYP_FYN.1.1.m.44312.200","CHOYP_G6PD.2.2.m.46923.2.151"
"1363","CHOYP_FYN.1.1.m.44312.201","CHOYP_ALF.3.3.m.66837.104"
"1364","CHOYP_FUT8.1.1.m.9231.118","CHOYP_G6PD.2.2.m.46923.3.795"
"1365","CHOYP_ALF.3.3.m.66837.99","CHOYP_G6PD.2.2.m.46923.1.97"
"1366","CHOYP_FYN.1.1.m.44312.202","CHOYP_G6PD.2.2.m.46923.105"
"1367","CHOYP_G6PD.2.2.m.46923.777","CHOYP_G6PD.2.2.m.46923.3.796"
"1368","CHOYP_G6PD.2.2.m.46923.778","CHOYP_G6PD.2.2.m.46923.3.797"
"1369","CHOYP_ALF.3.3.m.66837.100","CHOYP_G6PD.2.2.m.46923.3.798"
"1370","CHOYP_G6PD.2.2.m.46923.779","CHOYP_G6PD.2.2.m.46923.1.98"
"1371","CHOYP_1433G.2.2.m.63450.90","CHOYP_G6PD.2.2.m.46923.3.799"
"1372","CHOYP_AADAT.1.1.m.12672.77","CHOYP_G6PD.2.2.m.46923.3.800"
"1373","CHOYP_G6PD.2.2.m.46923.780","CHOYP_G6PD.2.2.m.46923.106"
"1374","CHOYP_AADAT.1.1.m.12672.78","CHOYP_G6PD.2.2.m.46923.3.801"
"1375","CHOYP_FYN.1.1.m.44312.203","CHOYP_G6PD.2.2.m.46923.1.99"
"1376","CHOYP_1433G.2.2.m.63450.91","CHOYP_G6PD.2.2.m.46923.3.802"
"1377","CHOYP_G6PD.2.2.m.46923.781","CHOYP_ALF.3.3.m.66837.105"
"1378","CHOYP_1433G.2.2.m.63450.92","CHOYP_G6PD.2.2.m.46923.3.803"
"1379","CHOYP_FYN.1.1.m.44312.204","CHOYP_G6PD.2.2.m.46923.3.804"
"1380","CHOYP_G6PD.2.2.m.46923.782","CHOYP_FYN.1.1.m.44312.112"
"1381","CHOYP_ALF.3.3.m.66837.101","CHOYP_G6PD.2.2.m.46923.3.805"
"1382","CHOYP_G6PD.2.2.m.46923.783","CHOYP_G6PD.2.2.m.46923.3.806"
"1383","CHOYP_AADAT.1.1.m.12672.79","CHOYP_G6PD.2.2.m.46923.2.152"
"1384","CHOYP_G6PD.2.2.m.46923.784","CHOYP_G6PD.2.2.m.46923.1.100"
"1385","CHOYP_FUT8.1.1.m.9231.119","CHOYP_G6PD.2.2.m.46923.3.807"
"1386","CHOYP_G6PD.2.2.m.46923.785","CHOYP_G6PD.2.2.m.46923.3.808"
"1387","CHOYP_G6PD.2.2.m.46923.786","CHOYP_FYN.1.1.m.44312.113"
"1388","CHOYP_FUT8.1.1.m.9231.120","CHOYP_G6PD.2.2.m.46923.1.101"
"1389","CHOYP_G6PD.2.2.m.46923.787","CHOYP_G6PD.2.2.m.46923.3.809"
"1390","CHOYP_G6PD.2.2.m.46923.788","CHOYP_G6PD.2.2.m.46923.3.810"
"1391","CHOYP_G6PD.2.2.m.46923.789","CHOYP_G6PD.2.2.m.46923.2.153"
"1392","CHOYP_ALF.3.3.m.66837.102","CHOYP_G6PD.2.2.m.46923.107"
"1393","CHOYP_G6PD.2.2.m.46923.790","CHOYP_G6PD.2.2.m.46923.3.811"
"1394","CHOYP_G6PD.2.2.m.46923.791","CHOYP_G6PD.2.2.m.46923.3.812"
"1395","CHOYP_ALF.3.3.m.66837.103","CHOYP_G6PD.2.2.m.46923.3.813"
"1396","CHOYP_G6PD.2.2.m.46923.792","CHOYP_G6PD.2.2.m.46923.3.814"
"1397","CHOYP_G6PD.2.2.m.46923.793","CHOYP_G6PD.2.2.m.46923.2.154"
"1398","CHOYP_FUT8.1.1.m.9231.121","CHOYP_G6PD.2.2.m.46923.3.815"
"1399","CHOYP_FYN.1.1.m.44312.205","CHOYP_G6PD.2.2.m.46923.3.816"
"1400","CHOYP_G6PD.2.2.m.46923.794","CHOYP_G6PD.2.2.m.46923.3.817"
"1401","CHOYP_G6PD.2.2.m.46923.795","CHOYP_G6PD.2.2.m.46923.3.818"
"1402","CHOYP_G6PD.2.2.m.46923.796","CHOYP_G6PD.2.2.m.46923.2.155"
"1403","CHOYP_FYN.1.1.m.44312.206","CHOYP_ALF.3.3.m.66837.106"
"1404","CHOYP_FYN.1.1.m.44312.207","CHOYP_G6PD.2.2.m.46923.1.102"
"1405","CHOYP_G6PD.2.2.m.46923.797","CHOYP_FYN.1.1.m.44312.114"
"1406","CHOYP_FYN.1.1.m.44312.208","CHOYP_G6PD.2.2.m.46923.2.156"
"1407","CHOYP_G6PD.2.2.m.46923.798","CHOYP_G6PD.2.2.m.46923.3.819"
"1408","CHOYP_G6PD.2.2.m.46923.799","CHOYP_G6PD.2.2.m.46923.3.820"
"1409","CHOYP_G6PD.2.2.m.46923.800","CHOYP_G6PD.2.2.m.46923.108"
"1410","CHOYP_ALF.3.3.m.66837.104","CHOYP_ALF.3.3.m.66837.107"
"1411","CHOYP_1433G.2.2.m.63450.93","CHOYP_G6PD.2.2.m.46923.109"
"1412","CHOYP_1433G.2.2.m.63450.94","CHOYP_G6PD.2.2.m.46923.110"
"1413","CHOYP_G6PD.2.2.m.46923.801","CHOYP_G6PD.2.2.m.46923.3.821"
"1414","CHOYP_G6PD.2.2.m.46923.802","CHOYP_G6PD.2.2.m.46923.2.157"
"1415","CHOYP_G6PD.2.2.m.46923.803","CHOYP_G6PD.2.2.m.46923.2.158"
"1416","CHOYP_FUT8.1.1.m.9231.122","CHOYP_G6PD.2.2.m.46923.3.822"
"1417","CHOYP_1433G.2.2.m.63450.95","CHOYP_G6PD.2.2.m.46923.1.103"
"1418","CHOYP_G6PD.2.2.m.46923.804","CHOYP_G6PD.2.2.m.46923.3.823"
"1419","CHOYP_FUT8.1.1.m.9231.123","CHOYP_G6PD.2.2.m.46923.111"
"1420","CHOYP_FUT8.1.1.m.9231.124","CHOYP_G6PD.2.2.m.46923.3.824"
"1421","CHOYP_FYN.1.1.m.44312.209","CHOYP_G6PD.2.2.m.46923.3.825"
"1422","CHOYP_1433G.2.2.m.63450.96","CHOYP_G6PD.2.2.m.46923.3.826"
"1423","CHOYP_G6PD.2.2.m.46923.805","CHOYP_G6PD.2.2.m.46923.3.827"
"1424","CHOYP_G6PD.2.2.m.46923.806","CHOYP_G6PD.2.2.m.46923.3.828"
"1425","CHOYP_G6PD.2.2.m.46923.807","CHOYP_G6PD.2.2.m.46923.3.829"
"1426","CHOYP_G6PD.2.2.m.46923.808","CHOYP_G6PD.2.2.m.46923.3.830"
"1427","CHOYP_G6PD.2.2.m.46923.809","CHOYP_G6PD.2.2.m.46923.3.831"
"1428","CHOYP_G6PD.2.2.m.46923.810","CHOYP_FYN.1.1.m.44312.115"
"1429","CHOYP_G6PD.2.2.m.46923.811","CHOYP_G6PD.2.2.m.46923.3.832"
"1430","CHOYP_G6PD.2.2.m.46923.812","CHOYP_G6PD.2.2.m.46923.3.833"
"1431","CHOYP_G6PD.2.2.m.46923.813","CHOYP_G6PD.2.2.m.46923.3.834"
"1432","CHOYP_FUT8.1.1.m.9231.125","CHOYP_G6PD.2.2.m.46923.3.835"
"1433","CHOYP_G6PD.2.2.m.46923.814","CHOYP_FYN.1.1.m.44312.116"
"1434","CHOYP_G6PD.2.2.m.46923.815","CHOYP_G6PD.2.2.m.46923.3.836"
"1435","CHOYP_1433G.2.2.m.63450.97","CHOYP_G6PD.2.2.m.46923.3.837"
"1436","CHOYP_G6PD.2.2.m.46923.816","CHOYP_G6PD.2.2.m.46923.112"
"1437","CHOYP_G6PD.2.2.m.46923.817","CHOYP_G6PD.2.2.m.46923.3.838"
"1438","CHOYP_FUT8.1.1.m.9231.126","CHOYP_G6PD.2.2.m.46923.113"
"1439","CHOYP_FUT8.1.1.m.9231.127","CHOYP_G6PD.2.2.m.46923.114"
"1440","CHOYP_G6PD.2.2.m.46923.818","CHOYP_G6PD.2.2.m.46923.1.104"
"1441","CHOYP_AADAT.1.1.m.12672.80","CHOYP_FYN.1.1.m.44312.117"
"1442","CHOYP_G6PD.2.2.m.46923.819","CHOYP_G6PD.2.2.m.46923.3.839"
"1443","CHOYP_1433G.2.2.m.63450.98","CHOYP_G6PD.2.2.m.46923.3.840"
"1444","CHOYP_FYN.1.1.m.44312.210","CHOYP_G6PD.2.2.m.46923.1.105"
"1445","CHOYP_G6PD.2.2.m.46923.820","CHOYP_G6PD.2.2.m.46923.3.841"
"1446","CHOYP_G6PD.2.2.m.46923.821","CHOYP_G6PD.2.2.m.46923.3.842"
"1447","CHOYP_1433G.2.2.m.63450.99","CHOYP_ALF.3.3.m.66837.108"
"1448","CHOYP_G6PD.2.2.m.46923.822","CHOYP_G6PD.2.2.m.46923.3.843"
"1449","CHOYP_G6PD.2.2.m.46923.823","CHOYP_G6PD.2.2.m.46923.115"
"1450","CHOYP_AADAT.1.1.m.12672.81","CHOYP_G6PD.2.2.m.46923.3.844"
"1451","CHOYP_G6PD.2.2.m.46923.824","CHOYP_G6PD.2.2.m.46923.1.106"
"1452","CHOYP_G6PD.2.2.m.46923.825","CHOYP_G6PD.2.2.m.46923.3.845"
"1453","CHOYP_G6PD.2.2.m.46923.826","CHOYP_G6PD.2.2.m.46923.3.846"
"1454","CHOYP_G6PD.2.2.m.46923.827","CHOYP_G6PD.2.2.m.46923.116"
"1455","CHOYP_G6PD.2.2.m.46923.828","CHOYP_G6PD.2.2.m.46923.3.847"
"1456","CHOYP_FUT8.1.1.m.9231.128","CHOYP_G6PD.2.2.m.46923.117"
"1457","CHOYP_FUT8.1.1.m.9231.129","CHOYP_G6PD.2.2.m.46923.3.848"
"1458","CHOYP_1433G.2.2.m.63450.100","CHOYP_G6PD.2.2.m.46923.118"
"1459","CHOYP_ALF.3.3.m.66837.105","CHOYP_ALF.3.3.m.66837.109"
"1460","CHOYP_AADAT.1.1.m.12672.82","CHOYP_G6PD.2.2.m.46923.2.159"
"1461","CHOYP_FUT8.1.1.m.9231.130","CHOYP_G6PD.2.2.m.46923.3.849"
"1462","CHOYP_G6PD.2.2.m.46923.829","CHOYP_G6PD.2.2.m.46923.3.850"
"1463","CHOYP_FYN.1.1.m.44312.211","CHOYP_G6PD.2.2.m.46923.2.160"
"1464","CHOYP_FYN.1.1.m.44312.212","CHOYP_G6PD.2.2.m.46923.3.851"
"1465","CHOYP_G6PD.2.2.m.46923.830","CHOYP_G6PD.2.2.m.46923.3.852"
"1466","CHOYP_G6PD.2.2.m.46923.831","CHOYP_G6PD.2.2.m.46923.3.853"
"1467","CHOYP_G6PD.2.2.m.46923.832","CHOYP_G6PD.2.2.m.46923.3.854"
"1468","CHOYP_FYN.1.1.m.44312.213","CHOYP_G6PD.2.2.m.46923.3.855"
"1469","CHOYP_G6PD.2.2.m.46923.833","CHOYP_G6PD.2.2.m.46923.3.856"
"1470","CHOYP_G6PD.2.2.m.46923.834","CHOYP_G6PD.2.2.m.46923.3.857"
"1471","CHOYP_G6PD.2.2.m.46923.835","CHOYP_FYN.1.1.m.44312.118"
"1472","CHOYP_G6PD.2.2.m.46923.836","CHOYP_G6PD.2.2.m.46923.3.858"
"1473","CHOYP_G6PD.2.2.m.46923.837","CHOYP_G6PD.2.2.m.46923.3.859"
"1474","CHOYP_G6PD.2.2.m.46923.838","CHOYP_G6PD.2.2.m.46923.1.107"
"1475","CHOYP_AADAT.1.1.m.12672.83","CHOYP_G6PD.2.2.m.46923.3.860"
"1476","CHOYP_G6PD.2.2.m.46923.839","CHOYP_G6PD.2.2.m.46923.3.861"
"1477","CHOYP_G6PD.2.2.m.46923.840","CHOYP_G6PD.2.2.m.46923.119"
"1478","CHOYP_1433G.2.2.m.63450.101","CHOYP_G6PD.2.2.m.46923.2.161"
"1479","CHOYP_FUT8.1.1.m.9231.131","CHOYP_G6PD.2.2.m.46923.2.162"
"1480","CHOYP_G6PD.2.2.m.46923.841","CHOYP_G6PD.2.2.m.46923.3.862"
"1481","CHOYP_G6PD.2.2.m.46923.842","CHOYP_G6PD.2.2.m.46923.2.163"
"1482","CHOYP_G6PD.2.2.m.46923.843","CHOYP_G6PD.2.2.m.46923.2.164"
"1483","CHOYP_FYN.1.1.m.44312.214","CHOYP_G6PD.2.2.m.46923.3.863"
"1484","CHOYP_G6PD.2.2.m.46923.844","CHOYP_G6PD.2.2.m.46923.120"
"1485","CHOYP_ALF.3.3.m.66837.106","CHOYP_G6PD.2.2.m.46923.3.864"
"1486","CHOYP_G6PD.2.2.m.46923.845","CHOYP_G6PD.2.2.m.46923.3.865"
"1487","CHOYP_G6PD.2.2.m.46923.846","CHOYP_G6PD.2.2.m.46923.3.866"
"1488","CHOYP_G6PD.2.2.m.46923.847","CHOYP_G6PD.2.2.m.46923.3.867"
"1489","CHOYP_G6PD.2.2.m.46923.848","CHOYP_G6PD.2.2.m.46923.1.108"
"1490","CHOYP_FYN.1.1.m.44312.215","CHOYP_ALF.3.3.m.66837.110"
"1491","CHOYP_1433G.2.2.m.63450.102","CHOYP_ALF.3.3.m.66837.111"
"1492","CHOYP_AADAT.1.1.m.12672.84","CHOYP_FYN.1.1.m.44312.119"
"1493","CHOYP_ALF.3.3.m.66837.107","CHOYP_G6PD.2.2.m.46923.121"
"1494","CHOYP_AADAT.1.1.m.12672.85","CHOYP_G6PD.2.2.m.46923.2.165"
"1495","CHOYP_AADAT.1.1.m.12672.86","CHOYP_G6PD.2.2.m.46923.2.166"
"1496","CHOYP_FYN.1.1.m.44312.216","CHOYP_G6PD.2.2.m.46923.3.868"
"1497","CHOYP_G6PD.2.2.m.46923.849","CHOYP_G6PD.2.2.m.46923.1.109"
"1498","CHOYP_AADAT.1.1.m.12672.87","CHOYP_G6PD.2.2.m.46923.3.869"
"1499","CHOYP_G6PD.2.2.m.46923.850","CHOYP_G6PD.2.2.m.46923.3.870"
"1500","CHOYP_G6PD.2.2.m.46923.851","CHOYP_G6PD.2.2.m.46923.1.110"
"1501","CHOYP_ALF.3.3.m.66837.108","CHOYP_G6PD.2.2.m.46923.3.871"
"1502","CHOYP_G6PD.2.2.m.46923.852","CHOYP_G6PD.2.2.m.46923.3.872"
"1503","CHOYP_G6PD.2.2.m.46923.853","CHOYP_G6PD.2.2.m.46923.3.873"
"1504","CHOYP_G6PD.2.2.m.46923.854","CHOYP_FYN.1.1.m.44312.120"
"1505","CHOYP_AADAT.1.1.m.12672.88","CHOYP_ALF.3.3.m.66837.112"
"1506","CHOYP_AADAT.1.1.m.12672.89","CHOYP_G6PD.2.2.m.46923.1.111"
"1507","CHOYP_1433G.2.2.m.63450.103","CHOYP_ALF.3.3.m.66837.113"
"1508","CHOYP_ALF.3.3.m.66837.109","CHOYP_G6PD.2.2.m.46923.3.874"
"1509","CHOYP_G6PD.2.2.m.46923.855","CHOYP_G6PD.2.2.m.46923.1.112"
"1510","CHOYP_1433G.2.2.m.63450.104","CHOYP_ALF.3.3.m.66837.114"
"1511","CHOYP_1433G.2.2.m.63450.105","CHOYP_G6PD.2.2.m.46923.2.167"
"1512","CHOYP_FUT8.1.1.m.9231.132","CHOYP_G6PD.2.2.m.46923.3.875"
"1513","CHOYP_G6PD.2.2.m.46923.856","CHOYP_G6PD.2.2.m.46923.3.876"
"1514","CHOYP_G6PD.2.2.m.46923.857","CHOYP_G6PD.2.2.m.46923.2.168"
"1515","CHOYP_FYN.1.1.m.44312.217","CHOYP_G6PD.2.2.m.46923.122"
"1516","CHOYP_ALF.3.3.m.66837.110","CHOYP_G6PD.2.2.m.46923.3.877"
"1517","CHOYP_1433G.2.2.m.63450.106","CHOYP_FYN.1.1.m.44312.121"
"1518","CHOYP_G6PD.2.2.m.46923.858","CHOYP_G6PD.2.2.m.46923.2.169"
"1519","CHOYP_G6PD.2.2.m.46923.859","CHOYP_G6PD.2.2.m.46923.3.878"
"1520","CHOYP_FUT8.1.1.m.9231.133","CHOYP_G6PD.2.2.m.46923.3.879"
"1521","CHOYP_G6PD.2.2.m.46923.860","CHOYP_G6PD.2.2.m.46923.3.880"
"1522","CHOYP_G6PD.2.2.m.46923.861","CHOYP_G6PD.2.2.m.46923.2.170"
"1523","CHOYP_G6PD.2.2.m.46923.862","CHOYP_G6PD.2.2.m.46923.3.881"
"1524","CHOYP_FYN.1.1.m.44312.218","CHOYP_G6PD.2.2.m.46923.3.882"
"1525","CHOYP_FYN.1.1.m.44312.219","CHOYP_FYN.1.1.m.44312.122"
"1526","CHOYP_G6PD.2.2.m.46923.863","CHOYP_G6PD.2.2.m.46923.3.883"
"1527","CHOYP_G6PD.2.2.m.46923.864","CHOYP_G6PD.2.2.m.46923.3.884"
"1528","CHOYP_G6PD.2.2.m.46923.865","CHOYP_G6PD.2.2.m.46923.3.885"
"1529","CHOYP_FYN.1.1.m.44312.220","CHOYP_G6PD.2.2.m.46923.3.886"
"1530","CHOYP_G6PD.2.2.m.46923.866","CHOYP_G6PD.2.2.m.46923.1.113"
"1531","CHOYP_G6PD.2.2.m.46923.867","CHOYP_FYN.1.1.m.44312.123"
"1532","CHOYP_ALF.3.3.m.66837.111","CHOYP_G6PD.2.2.m.46923.1.114"
"1533","CHOYP_FYN.1.1.m.44312.221","CHOYP_G6PD.2.2.m.46923.3.887"
"1534","CHOYP_G6PD.2.2.m.46923.868","CHOYP_FYN.1.1.m.44312.124"
"1535","CHOYP_G6PD.2.2.m.46923.869","CHOYP_FYN.1.1.m.44312.125"
"1536","CHOYP_FYN.1.1.m.44312.222","CHOYP_G6PD.2.2.m.46923.3.888"
"1537","CHOYP_AADAT.1.1.m.12672.90","CHOYP_G6PD.2.2.m.46923.3.889"
"1538","CHOYP_G6PD.2.2.m.46923.870","CHOYP_G6PD.2.2.m.46923.3.890"
"1539","CHOYP_G6PD.2.2.m.46923.871","CHOYP_G6PD.2.2.m.46923.3.891"
"1540","CHOYP_G6PD.2.2.m.46923.872","CHOYP_G6PD.2.2.m.46923.2.171"
"1541","CHOYP_G6PD.2.2.m.46923.873","CHOYP_G6PD.2.2.m.46923.3.892"
"1542","CHOYP_FYN.1.1.m.44312.223","CHOYP_FYN.1.1.m.44312.126"
"1543","CHOYP_G6PD.2.2.m.46923.874","CHOYP_G6PD.2.2.m.46923.3.893"
"1544","CHOYP_ALF.3.3.m.66837.112","CHOYP_FYN.1.1.m.44312.127"
"1545","CHOYP_G6PD.2.2.m.46923.875","CHOYP_G6PD.2.2.m.46923.3.894"
"1546","CHOYP_FUT8.1.1.m.9231.134","CHOYP_G6PD.2.2.m.46923.3.895"
"1547","CHOYP_G6PD.2.2.m.46923.876","CHOYP_G6PD.2.2.m.46923.3.896"
"1548","CHOYP_G6PD.2.2.m.46923.877","CHOYP_G6PD.2.2.m.46923.3.897"
"1549","CHOYP_G6PD.2.2.m.46923.878","CHOYP_G6PD.2.2.m.46923.2.172"
"1550","CHOYP_G6PD.2.2.m.46923.879","CHOYP_G6PD.2.2.m.46923.2.173"
"1551","CHOYP_FYN.1.1.m.44312.224","CHOYP_G6PD.2.2.m.46923.3.898"
"1552","CHOYP_G6PD.2.2.m.46923.880","CHOYP_G6PD.2.2.m.46923.3.899"
"1553","CHOYP_G6PD.2.2.m.46923.881","CHOYP_G6PD.2.2.m.46923.3.900"
"1554","CHOYP_G6PD.2.2.m.46923.882","CHOYP_G6PD.2.2.m.46923.3.901"
"1555","CHOYP_G6PD.2.2.m.46923.883","CHOYP_G6PD.2.2.m.46923.3.902"
