"","fc3","fc5","fc7","fc9","fc11","fc13"
"CHOYP_DHX8.2.3|m.55114",-26.1507960309194,-32.95860099702,-24.8344327148558,-24.5554160663448,-26.0347496546191,-25.1133468319954
"CHOYP_DLAT.1.1|m.64812",-15.9129281485226,-17.3028527536356,-17.0430512799842,-15.8614172128757,-16.1769553040572,-12.6507905727059
"CHOYP_RS23.1.9|m.12948",-38.1285820172683,-31.8515755035835,-21.3145681478845,-22.8029301544028,-23.1507235383811,-31.4783546643875
"CHOYP_DLGP1.3.3|m.44296",-3.02014921846485,-2.80408180094888,-2.33501743041768,-3.00782986465983,-2.06887863950219,-2.04384160035505
"CHOYP_DLP.1.1|m.31353",-2.47547676576378,-2.84002581468414,-2.05466898533957,-2.0037467090158,-2.71458009136897,-3.24496792922863
"CHOYP_DNAH5.2.2|m.61452",-4.23725793097172,-4.36978359446162,-4.2852019162751,-1.48568429089637,-5.16146304229124,-3.4472478387745
"CHOYP_DNAH7.2.2|m.46648",-2.66235682667606,-3.50543002742921,-3.73146479692671,1.13290560243598,-3.94344798173576,-2.60180157234673
"CHOYP_DYH1.1.1|m.46156",1.00152199644723,-1.68648092476413,-1.27801376063852,1.76779995692516,-3.72589095435926,1.03353928478673
"CHOYP_DNAH6.2.3|m.21512",-1.03521403546729,-2.00070272870118,-1.3993064328779,4.54791881256344,-3.56315851594178,2.04819286782779
"CHOYP_DNAH12.2.3|m.32353",3.41672540102867,-2.51430268770342,-2.38999190599693,-1.26978387389659,-1.91509844746482,-1.35758291170046
"CHOYP_LOC100378331.1.1|m.47480",-1.17097407886219,-1.76027253142382,1.22327084332347,-1.31299615241353,-3.13855737538217,-1.66604659823747
"CHOYP_DNAJ-11.1.1|m.18882",-6.28862797975115,-7.79063944536487,-6.01652812828202,-5.23454849903977,-6.27064699348819,-3.99385948065878
"CHOYP_DNJA2.2.2|m.51791",-10.8444874573892,-13.7663905651637,-15.4930824862839,-17.3461119362654,-15.3799514651145,-10.9176764455672
"CHOYP_DP13A.2.3|m.10746",-5.56240476022727,-3.21681668071624,-3.69363812268191,-3.10484354440824,-3.52978830036261,-7.63090427657222
"CHOYP_DPER_GL17438.1.1|m.11680",1.17867914294543,-1.2456520868927,-1.77169358849331,-2.97116077260104,-4.36152307209092,-2.77890857600794
"CHOYP_DPF2.1.2|m.6678",-3.82771072673178,-2.22721122076657,-2.42032283385631,-3.86412272002558,-2.85638667963714,-2.70245858908378
"CHOYP_DPSE_GA15574.1.1|m.62967",-14.3090526404692,-12.9197624820062,-14.3076125001645,-11.0266695517805,-13.9949468645787,-12.5563577844608
"CHOYP_DPSE_GA27121.1.1|m.6089",-10.531226429983,-12.8774561638039,-14.7006357797819,-12.9394158745793,-15.1961168279194,-17.3023140076256
"CHOYP_DPSE_GA30097.1.1|m.24050",-10.5542790889099,-8.88984278271873,-10.0509612651316,-9.74862699122094,-6.76272599963532,-8.64421092118112
"CHOYP_DSEC_GM19691.1.1|m.30070",-21.0477484898363,-26.1700114815381,-22.8164079192414,-25.8368533981193,-23.510229841256,-29.0684583723005
"CHOYP_DUOX1.4.4|m.44613",-15.3292732790321,-16.8241650889413,-22.2578900992242,-10.0979989668756,-9.34780652025956,-16.4660700873855
"CHOYP_ISCW_ISCW021350.1.1|m.10332",-7.08111348414999,-7.55601294067746,-8.09488819936875,-7.95348333039505,-7.86139101637589,-6.8673122623845
"CHOYP_DVIR_GJ17679.2.3|m.46443",1.12510522244383,-1.92184422660833,-2.08205139666177,-1.66581660386143,-2.25143155989247,-3.64471637711993
"CHOYP_DVIR_GJ22204.1.1|m.17270",-9.2442693369835,-9.5819130196642,-9.15579137115035,-7.17252614491554,-7.44358672386781,-9.76333213808733
"CHOYP_DVIR_GJ23521.1.1|m.2757",-34.3137727350942,-24.2586565462599,-24.6725006621567,-35.4630230027626,-16.9932814649587,-26.0898560748229
"CHOYP_DX39B.2.3|m.18241",-18.056178485205,-18.8760804866007,-19.8610063454066,-17.9313876871721,-16.7112488867143,-19.8362143014042
"CHOYP_DYH2.1.1|m.28905",-1.14469787999962,-1.98904143019011,-2.0754247665829,1.43309275684472,-2.05650079066648,-1.44623937416419
"CHOYP_BRAFLDRAFT_108792.4.5|m.45892",1.2690556577144,1.32010968017802,1.4960882771984,5.67742399907974,-1.06691099204886,3.28294129840073
"CHOYP_DYHC.1.3|m.10664",-5.5038082108961,-7.11123886766045,-6.79796349549022,-3.22342377688936,-6.73189696371439,-4.28639091170631
"CHOYP_DYN1.2.3|m.30771",-3.24344779412506,-4.36068910457776,-2.02034773791914,-3.82620223632948,-3.84705825327583,-5.42673817849931
"CHOYP_EATER.1.1|m.30042",-2.74769757964873,-1.88955103043176,-1.76478232395068,-4.64127287559125,-5.93071656367828,-4.9463595139152
"CHOYP_ECHVI_0367.2.2|m.16808",-4.7738439860428,-7.39991947412496,-6.78608420762168,-7.90943404559302,-3.25895697172378,-2.9302518379082
"CHOYP_ECM29.1.1|m.48083",-1.79472013602768,-2.34173364497218,-2.76013130732471,1.1149453580646,-1.34051235665748,-1.91482348475872
"CHOYP_contig_043057|m.49706",-6.55877532523526,-2.75152574538386,-1.78356600733735,-3.95100352476494,-3.62825323231275,-3.38721439170305
"CHOYP_EF1A.2.4|m.50858",-115.775428488145,-112.307356665656,-110.348599694317,-122.120243985529,-111.322735327319,-105.689914929758
"CHOYP_EF1B.1.7|m.26504",-13.4045153499906,-14.1881045099932,-14.4224072511571,-13.6741302262914,-10.8396483550985,-11.6705756916158
"CHOYP_EF1G.3.3|m.63510",-27.1275107208631,-23.9707690768022,-25.9397838629265,-33.1215389558736,-29.8225541761127,-27.0459852550884
"CHOYP_EF1G.2.3|m.50676",-10.3218267639728,-13.6470090451047,-18.0538414317068,-13.9808059606287,-15.8187503956129,-7.91374428814547
"CHOYP_EF2.4.5|m.30186",-39.2956476481538,-43.2996609084818,-36.4797842678418,-40.0173115773982,-38.9718868036967,-34.6252686962141
"CHOYP_EF2.5.5|m.39855",-15.4002265941214,-15.8987872520324,-12.8029260744086,-2.67004432555973,-5.13283544716483,-8.22751291584909
"CHOYP_BRAFLDRAFT_200206.1.1|m.35419",-6.08369829860096,-4.63186983771559,-2.26800195492677,-6.28275648086853,-8.60859172987357,-8.36586235296901
"CHOYP_EF2.5.5|m.39856",-23.8712184332104,-21.7699847711037,-21.8718857447075,-20.8267220924878,-19.4992080558311,-19.2220986864078
"CHOYP_EFCAB1.1.1|m.43342",-8.85580249012666,-16.1729067983547,-11.4013657418273,-8.92895840617672,-14.5156327712961,-16.5691502877021
"CHOYP_EFGM.1.1|m.16632",-4.05130751543097,-2.96176862917169,-3.04449331370113,-4.22566482382538,-1.20814067440243,-2.08069796582506
"CHOYP_EFHD2.1.1|m.22844",-7.10590616119583,-6.48236787562899,-8.67520289069291,-7.26106608801818,-9.26056326261223,-9.13236974238768
"CHOYP_EFTS.2.2|m.66393",-10.8899895451795,-12.685484672207,-9.8832459598566,-9.73524412559383,-8.41241891960712,-9.60703449349536
"CHOYP_EIF1A.1.1|m.30303",-1.5064026472012,1.13716624641008,-1.08051573694588,-3.55841645402693,-6.78706698315078,-5.61488241393994
"CHOYP_EIF3B.1.1|m.12232",-11.8981531419907,-11.6987239896682,-11.6953343360165,-13.13136716817,-10.660724820614,-10.5722846415996
"CHOYP_EIF4BB.1.1|m.51065",-6.74527994355684,-5.38190479080754,-5.16283135587221,-4.7992950615246,-5.3609406555959,-5.59991801096533
"CHOYP_EIF4BB.1.1|m.51066",-8.92824774035736,-9.7073992012085,-8.381225213239,-9.49241992394957,-7.03916370724883,-8.85388906757621
"CHOYP_EIF4H.3.3|m.57962",-7.15612674967255,-8.16738538643972,-7.60890569367201,-8.91265619720885,-6.0899488371437,-6.1661347754906
"CHOYP_BRAFLDRAFT_200527.1.1|m.601",-6.06455036300382,-4.6986777402593,-4.80532137627016,-7.06239945803026,-8.10122318817394,-17.459274172384
"CHOYP_EIF5A.1.3|m.22684",-53.1708764856704,-48.289576910611,-34.6245544461045,-55.6201791413675,-41.6409161861775,-53.2787067988885
"CHOYP_ELP1.2.2|m.29114",-2.68473511121256,-2.47266722693571,2.74414468562608,-1.03840882131398,1.11559605177614,1.17481931486674
"CHOYP_EMAL1.1.1|m.58030",-16.4108030858248,-13.9753686583669,-11.7023849982008,-15.6261547476167,-14.412416924559,-16.7039742652488
"CHOYP_ENPL.3.4|m.39476",-11.2962326965459,-9.75780772624017,-11.242274952783,-5.45286307993529,-1.9338101009797,-7.02443118506452
"CHOYP_ENPL.4.4|m.47194",-1.82865456364482,-2.86877228052886,-2.38941931977567,-5.94590042586755,-10.973624612199,-11.6863167019783
"CHOYP_AGAP_AGAP002350.1.1|m.37287",-8.32066835020363,-8.1570027624554,-6.66039198409329,-12.4133375998391,-11.2305014355334,-15.8874433352336
"CHOYP_EP15R.1.1|m.14260",-3.52223518173238,-3.13432221324747,-3.36966409163201,-3.24876079298565,-3.6500025595968,-2.72248310422653
"CHOYP_EPN4.2.3|m.66030",-8.67739540500487,-8.37425146561955,-9.57078269603025,-15.2284119258776,-8.67619397811039,-4.27762948652076
"CHOYP_ERF1.1.1|m.37539",-16.2001033658472,-13.3750247262602,-10.7430634817278,-13.361801535641,-15.2513325626455,-13.0935196905871
"CHOYP_EVL.1.1|m.57134",-3.60597816173565,-4.89335470399499,-4.51251512366277,-3.25491947372608,-13.6903420080553,-10.1382367984824
"CHOYP_VASP.1.1|m.15245",-6.23778090943046,-1.20484519847134,-4.53569923604194,-6.0145722674572,-6.27941711622021,-2.58781328714695
"CHOYP_F10A1.2.4|m.11805",-5.91016923338817,-13.8785328101385,-12.1876609098809,-11.1103900650055,-9.6933176249463,-1.32021427330856
"CHOYP_F172A.2.2|m.58797",-4.28297144595947,-1.71526686522655,1.1004936660484,-1.10416987939345,-2.23350963418861,-3.69833132598261
"CHOYP_F179B.1.1|m.45817",-1.86687818326714,-2.26784563805919,-2.46314625799428,-2.10208652871366,-1.53001405570673,-4.95349029814142
"CHOYP_FABP7.2.2|m.29096",-5.58658106982153,-11.5247010785437,-16.3274548170129,-18.1321082944664,-23.0469159200383,-19.2501060661741
"CHOYP_FKBP13.1.1|m.43694",-8.11057919582438,-4.16450836522243,-4.21121255126657,-2.11694204799295,-1.63810996380589,-5.03794965787187
"CHOYP_FL2D.1.1|m.62439",-3.25878501442407,-2.95185562819083,-2.39702499503703,-6.44304216217455,-2.6243018712117,-3.99198746602435
"CHOYP_FLNC.2.5|m.37450",-7.99372354353419,-31.6336334907014,-9.68183323990588,-16.785800968633,-9.94283385512236,-10.1586182461868
"CHOYP_FLNA.2.6|m.11845",-199.011888863558,2.64474748825301,-25.4371304429146,-40.8928576340507,-15.9853915515739,-137.060145328662
"CHOYP_FLOT1.2.2|m.59727",-2.2101841761562,-3.31271186671802,-4.29844426836282,-4.98273695269473,-3.98519189410805,-2.76477185139768
"CHOYP_FMRP.1.2|m.37742",-4.63367920540835,-3.61075161001862,-3.88609225939037,-5.24435819464326,-3.47841537189021,-6.91082909709065
"CHOYP_FND2.1.4|m.8542",-10.5866578870423,-8.7836748986495,-7.67506500636871,-5.03967395242183,-6.11192001518812,-8.07767447583687
"CHOYP_FND2.3.4|m.40482",-16.1176202237703,-12.1682801639235,-10.6331756536485,-10.729243481491,-8.81182826057221,-8.78236421348224
"CHOYP_FNTB.1.1|m.45546",-9.3844196223492,-4.64343671480032,-6.80896716713385,-6.33543596723434,-6.19697946559126,-7.53862423610218
