"clust.class","Freq"
"1",1302
"2",4319
"3",78
"4",121
"5",2393
"6",868
"7",3067
"8",316
"9",519
"10",112
"11",732
"12",550
"13",623
"14",203
"15",299
"16",27
"17",201
"18",26
"19",7
"20",131
"21",13
"22",14
"23",12
"24",6
"25",7
"26",2
"27",1
"28",4
"29",1
"30",2
