"","ID","Cluster","D3","D5","D7","D9","D11","D13"
"54","3_CHOYP_AAEL_AAEL011814.1.1.m.48797",3,0.1,1.97785,1.06935,4.0313,1.13365,0.1
"55","3_CHOYP_AAEL_AAEL011979.1.1.m.59057",1,12.8605,12.95355,16.95975,13.7209,14.556,17.7216
"56","3_CHOYP_AAEL_AAEL012012.1.1.m.11873",3,0.1,3.37035,3.5436,3.57,5.65525,4.61095
"57","3_CHOYP_AAEL_AAEL012950.1.1.m.1373",1,23.90425,22.68055,28.11985,22.61575,16.54975,14.63575
"58","3_CHOYP_AAEL_AAEL013229.1.2.m.30359",4,0.1,0.1,0.1,0.1,0.1,0.1
"59","3_CHOYP_AAEL_AAEL013229.2.2.m.57593",4,0.1,0.1,0.1,0.1,0.1,0.1
"60","3_CHOYP_AAEL_AAEL014931.1.1.m.24932",3,0.6432,3.56025,1.2532,3.7877,1.3394,3.2632
"61","3_CHOYP_AAEL_AAEL015271.1.1.m.56223",4,5.44605,0.1,0.1,0.1,3.17385,0.1
"62","3_CHOYP_AAK1.1.1.m.14768",3,0.4526,0.809,0.85055,0.48565,0.49835,0.60275
"63","3_CHOYP_AAK1.1.1.m.14769",4,0.9987,0.1,0.1,0.1,1.1065,0.1
"64","3_CHOYP_AAKG2.1.1.m.55638",3,0.88575,0.88285,0.1,3.5456,4.7544,2.3091
"65","3_CHOYP_AAMP.1.1.m.13698",3,1.32055,1.31615,0.1,5.3903,2.8834,3.56435
"66","3_CHOYP_AASI_1435.2.35.m.17918",4,0.1,0.1,1.28765,0.1,1.38005,0.1
"67","3_CHOYP_AASI_1435.28.35.m.60443",4,0.1,0.1,0.1,0.84525,0.1,0.1
"68","3_CHOYP_AASI_1435.35.35.m.65339",4,0.3315,0.1,0.3432,0.34605,0.6389,0.1
"69","3_CHOYP_AATF.1.1.m.34004",4,0.1,1.8537,0.1,1.9635,0.1,0.1
"70","3_CHOYP_AATM.1.1.m.32176",1,89.98225,96.87005,121.1234,104.04405,107.36505,132.48225
"71","3_CHOYP_ABCA1.1.3.m.6501",4,0.1,0.1,0.1,0.4023,0.1,0.1
"72","3_CHOYP_ABCA1.3.3.m.56453",4,0.1,0.26815,0.1,0.1,0.1,0.1
"73","3_CHOYP_ABCA3.2.6.m.4295",4,0.36335,0.1,0.1,0.1,0.1,0.1
"74","3_CHOYP_ABCA3.5.6.m.54787",4,0.3615,0.1,0.1,0.1,0.1,0.1
"75","3_CHOYP_ABCA4.1.1.m.31461",4,0.1,0.1,0.15925,0.1,0.1,0.1
"76","3_CHOYP_ABCB6.2.3.m.11344",1,17.7223,17.8127,16.8643,18.91755,26.0623,19.55215
"77","3_CHOYP_ABCB6.3.3.m.53101",4,0.1,0.1,0.1,0.1,0.1,0.1
"78","3_CHOYP_ABCE1.1.2.m.7437",1,27.03665,7.00405,37.98815,8.35815,51.19255,39.65505
"79","3_CHOYP_ABCE1.2.2.m.42246",1,27.03665,44.76315,12.09375,38.22555,6.0527,39.65505
"80","3_CHOYP_ABCF2.1.2.m.28360",1,13.867,26.1576,25.62165,25.03595,13.75555,16.7147
"81","3_CHOYP_ABCF2.1.2.m.28362",1,288.97795,407.59395,396.1436,435.95605,311.6036,459.05795
"82","3_CHOYP_ABCG8.1.1.m.3707",4,0.1,0.1,0.1,0.1,0.1,0.1
"83","3_CHOYP_ABHD2.2.2.m.32276",3,1.71885,0.90365,1.77185,0.9575,1.0097,1.20145
"84","3_CHOYP_ABI2.2.2.m.65629",1,6.2028,8.7348,7.88665,4.0895,11.23855,3.4207
"85","3_CHOYP_ABL1.1.1.m.55647",3,1.68495,1.2673,0.8922,0.96395,0.9906,1.78945
"86","3_CHOYP_ACA1_060860.1.1.m.52568",4,0.1,0.1,0.63115,0.1,0.1,0.1
"87","3_CHOYP_ACA1_091870.1.1.m.43726",1,12.70095,12.8329,10.8681,8.3213,0.1,10.5025
"88","3_CHOYP_ACA1_394750.1.2.m.54181",5,0.1,0.1,0.1,1.45875,0.1,0.1
"89","3_CHOYP_ACAA2.1.1.m.30666",1,83.8466,88.3377,95.5248,81.0114,106.97615,86.20145
"90","3_CHOYP_ACAC.1.2.m.16888",3,5.25085,5.29365,4.5814,6.54995,4.90765,3.462
"91","3_CHOYP_ACAC.2.2.m.58115",4,0.1,0.1,0.1,0.1,0.1,0.1
"92","3_CHOYP_ACAD8.1.1.m.9135",1,10.01645,6.293,6.6087,9.33415,12.7044,5.17725
"93","3_CHOYP_ACADL.1.1.m.5508",1,38.80295,43.79545,43.5498,38.9021,38.6404,45.3615
"94","3_CHOYP_ACBD5.1.2.m.16744",4,0.1,0.9647,0.1,0.1,0.1,0.1
"95","3_CHOYP_ACBP.1.4.m.15501",1,89.72715,61.90695,105.51395,80.45615,85.5325,123.63745
"96","3_CHOYP_ACDOPBH.1.9.m.8787",1,52.53185,28.561,34.25515,17.11005,27.4579,33.44175
"97","3_CHOYP_ACDOPBH.5.9.m.42992",3,0.1,3.90685,4.0809,2.05565,3.25635,3.9811
"98","3_CHOYP_ACDOPBH.8.9.m.52946",3,0.1,0.1,4.03945,0.1,0.1,0.1
"99","3_CHOYP_ACDOPBH.9.9.m.63296",4,0.1,0.1,0.1,0.1,0.1,0.1
"100","3_CHOYP_ACE.2.4.m.5302",4,0.1,0.1,0.2882,0.1,0.49965,0.3538
"101","3_CHOYP_ACE.4.4.m.17563",4,1.093,0.1,0.1,0.1,0.1,0.1
"102","3_CHOYP_ACH5.1.1.m.3951",5,0.1,0.1,0.1,2.0784,0.1,0.1
"103","3_CHOYP_ACH7.2.2.m.66217",4,1.04505,1.068,0.1,1.13225,0.1,0.1
"104","3_CHOYP_ACIN1A.2.2.m.51408",1,7.49725,6.12945,10.43035,9.50705,3.71965,12.9139
"105","3_CHOYP_ACL6B.1.1.m.62588",1,11.9158,20.0963,16.88335,11.3036,13.51085,14.5954
"106","3_CHOYP_ACLA_093460.1.1.m.41459",4,0.1,0.1,0.1,0.1,1.5662,0.1
"107","3_CHOYP_ACLY.1.1.m.65081",1,41.17015,39.9497,37.9737,41.33705,40.6086,44.0467
