"clust.class","Freq"
"1",1306
"2",4319
"3",199
"4",2919
"5",1184
"6",3067
"7",112
"8",1031
"9",751
"10",623
"11",203
"12",27
"13",157
"14",15
"15",14
"16",12
"17",6
"18",7
"19",2
"20",1
"21",1
