"","Cluster","Silo","ID","D3","D5","D7","D9","D11","D13"
"7449",17,"3","CHOYP_TBA.1.6.m.12217",544.12625,198.43425,143.3838,112.79015,16.7105,280.26985
"7465",19,"3","CHOYP_TBB4B.1.7.m.12262",333.21015,548.0101,588.66265,448.0418,315.0938,435.76855
"7467",7,"3","CHOYP_TBB4B.7.7.m.63980",428.7215,242.1056,247.93235,220.68445,384.00315,308.5597
"7626",7,"3","CHOYP_TRIADDRAFT_57086.1.1.m.25271",358.1622,350.48735,254.32635,353.78955,218.18475,321.19135
"7836",4,"3","CHOYP_VOLCADRAFT_93060.2.2.m.26741",508.734,251.0703,211.39365,230.9109,251.0353,185.57225
"8099",20,"9","CHOYP_ACT.23.27.m.58454",0.1,102.60505,250.12515,115.95735,261.9099,0.1
"8101",1,"9","CHOYP_ACT.5.27.m.15585",0.1,0.1,0.1,0.1,0.1,0.1
"8102",1,"9","CHOYP_ACT.6.27.m.15622",0.1,0.1,0.1,0.1,0.1,0.1
"8423",7,"9","CHOYP_BRAFLDRAFT_114866.4.5.m.35627",370.8376,436.9669,332.88915,300.30495,281.96875,292.66465
"8698",13,"9","CHOYP_BRAFLDRAFT_127065.6.7.m.30727",503.55835,129.41815,60.6951,37.78655,49.17855,28.594
"10183",3,"9","CHOYP_contig_041958.m.48141",173.0308,330.16185,417.46555,296.95655,287.7274,418.39595
"10755",21,"9","CHOYP_EF1A.2.4.m.50858",739.42795,731.18665,710.73345,784.8577,746.1566,708.48805
"10800",2,"9","CHOYP_EIF5A.1.3.m.22684",311.9791,287.03825,194.38305,305.7476,245.66555,292.33845
"10817",2,"9","CHOYP_ENO.1.2.m.7681",148.02745,182.30925,208.96075,184.8943,208.1377,194.5305
"11151",2,"9","CHOYP_HSP7D.2.3.m.34782",146.89205,182.0329,199.51815,201.44025,175.804,206.88285
"11368",8,"9","CHOYP_KARG.2.11.m.2196",343.2885,372.35145,414.0703,382.3525,437.23165,451.4212
"11455",1,"9","CHOYP_LDLR.6.7.m.57984",121.05345,158.9252,144.39065,203.88955,194.41465,118.6063
"13134",25,"9","CHOYP_LOC100890099.1.1.m.11505",0.1,88.20305,219.74785,0.1,416.6036,0.1
"13281",20,"9","CHOYP_LOC101072646.1.1.m.8800",154.01955,259.43175,277.0791,177.08655,102.90055,128.20075
"13353",22,"9","CHOYP_LOC101169658.2.3.m.20752",36.4086,142.48055,316.166,380.10125,445.35895,533.59615
"13360",20,"9","CHOYP_LOC101173335.4.4.m.49816",0.1,82.0958,171.43925,177.58445,214.32635,0.1
"13605",3,"9","CHOYP_LOC587133.1.1.m.61281",231.0322,384.48075,344.3579,386.66005,395.00455,523.60335
"13827",17,"9","CHOYP_LOC752782.1.1.m.53937",568.72235,328.73155,0.1,197.9363,0.1,266.4716
"13835",27,"9","CHOYP_LOC754102.1.1.m.57578",559.59835,369.94445,268.22635,280.1185,505.8474,332.79735
"14148",2,"9","CHOYP_MYS.4.7.m.18188",180.7544,183.19635,175.8307,191.9963,211.79105,211.19245
"14152",23,"9","CHOYP_MYSP.1.9.m.1097",92.97375,240.02425,46.3273,361.8968,360.46315,554.6728
"14154",24,"9","CHOYP_MYSP.4.9.m.2302",1147.50595,569.57415,1208.58315,434.48165,556.2715,627.3832
"14156",20,"9","CHOYP_MYSP.8.9.m.44813",111.63405,241.6663,240.88295,195.80085,176.1415,0.1
"14209",2,"9","CHOYP_NEMVEDRAFT_V1G120119.1.2.m.6082",156.9361,146.4434,137.77545,171.95635,188.64875,254.53105
"14504",26,"9","CHOYP_PAN2.1.1.m.44691",441.7236,0.1,0.1,296.0909,964.1086,0.1
"15088",20,"9","CHOYP_RS3A.4.15.m.15367",162.87345,182.7894,173.63305,88.90715,171.7772,0.1
"15424",7,"9","CHOYP_TAGL3.1.1.m.31031",317.2425,280.77695,257.51455,361.24375,467.86335,423.168
"15426",1,"9","CHOYP_TBA.1.6.m.12217",34.45415,140.54485,183.0576,83.7,50.3576,0.1
"15442",28,"9","CHOYP_TBB4B.1.7.m.12262",575.2672,265.15795,367.6797,401.77685,635.2697,567.3892
"15444",2,"9","CHOYP_TBB4B.7.7.m.63980",261.08445,359.34275,260.92085,285.65025,176.5041,192.195
"15603",3,"9","CHOYP_TRIADDRAFT_57086.1.1.m.25271",303.20255,370.01345,259.1985,229.80995,270.9148,478.2411
"15813",2,"9","CHOYP_VOLCADRAFT_93060.2.2.m.26741",284.42,182.0209,166.2589,183.36395,193.93855,157.5121
