"","Cluster","Silo","ID","D3","D5","D7","D9","D11","D13"
"2927",18,"3","CHOYP_TBA.1.6.m.12217",544.12625,198.43425,143.3838,112.79015,16.7105,280.26985
"2939",9,"3","CHOYP_TBB4B.7.7.m.63980",428.7215,242.1056,247.93235,220.68445,384.00315,308.5597
"3034",20,"3","CHOYP_VOLCADRAFT_93060.2.2.m.26741",508.734,251.0703,211.39365,230.9109,251.0353,185.57225
"3134",9,"3","COF1.YALI0F20856g",358.1622,350.48735,254.32635,353.78955,218.18475,321.19135
"3701",8,"3","eef1a.ef1a",592.91925,671.2199,625.9092,638.5678,813.5562,814.2211
"3775",9,"3","EIF5A",352.3577,380.49725,273.24535,269.13555,363.8985,240.5233
"3802",1,"3","ENO1",168.42915,156.00445,141.5826,161.44515,205.88405,186.4109
"4890",1,"3","MAMDC2",121.57785,189.22455,200.1645,158.8146,146.9789,173.1578
"5958",6,"3","Postn.Osf2",542.66385,314.21385,114.6228,78.76765,71.96685,66.4537
"6493",1,"3","RPS3A.KRP.A",137.98365,88.8072,97.0305,87.3261,172.1084,25.15805
"6791",9,"3","slr1101.1",365.99355,410.38745,303.24275,334.5834,379.27185,287.51045
"7097",2,"3","Tagln3.Np25",284.47355,273.5725,236.9143,269.42295,339.82105,264.21265
"7498",19,"3","TUB.A",333.21015,548.0101,588.66265,448.0418,315.0938,435.76855
"8095",22,"9","actbc",0.1,88.20305,219.74785,0.1,416.6036,0.1
"8454",7,"9","Atp5d",154.01955,259.43175,277.0791,177.08655,102.90055,128.20075
"8955",7,"9","CHOYP_ACT.23.27.m.58454",0.1,102.60505,250.12515,115.95735,261.9099,0.1
"8957",1,"9","CHOYP_ACT.5.27.m.15585",0.1,0.1,0.1,0.1,0.1,0.1
"8958",1,"9","CHOYP_ACT.6.27.m.15622",0.1,0.1,0.1,0.1,0.1,0.1
"9022",9,"9","CHOYP_BRAFLDRAFT_114866.4.5.m.35627",370.8376,436.9669,332.88915,300.30495,281.96875,292.66465
"9815",3,"9","CHOYP_contig_041958.m.48141",173.0308,330.16185,417.46555,296.95655,287.7274,418.39595
"10148",2,"9","CHOYP_HSP7D.2.3.m.34782",146.89205,182.0329,199.51815,201.44025,175.804,206.88285
"10186",10,"9","CHOYP_KARG.2.11.m.2196",343.2885,372.35145,414.0703,382.3525,437.23165,451.4212
"10211",1,"9","CHOYP_LDLR.6.7.m.57984",121.05345,158.9252,144.39065,203.88955,194.41465,118.6063
"10528",23,"9","CHOYP_LOC101169658.2.3.m.20752",36.4086,142.48055,316.166,380.10125,445.35895,533.59615
"10529",7,"9","CHOYP_LOC101173335.4.4.m.49816",0.1,82.0958,171.43925,177.58445,214.32635,0.1
"10598",18,"9","CHOYP_LOC752782.1.1.m.53937",568.72235,328.73155,0.1,197.9363,0.1,266.4716
"10600",24,"9","CHOYP_LOC754102.1.1.m.57578",559.59835,369.94445,268.22635,280.1185,505.8474,332.79735
"10665",2,"9","CHOYP_MYS.4.7.m.18188",180.7544,183.19635,175.8307,191.9963,211.79105,211.19245
"10667",25,"9","CHOYP_MYSP.1.9.m.1097",92.97375,240.02425,46.3273,361.8968,360.46315,554.6728
"10669",26,"9","CHOYP_MYSP.4.9.m.2302",1147.50595,569.57415,1208.58315,434.48165,556.2715,627.3832
"10671",7,"9","CHOYP_MYSP.8.9.m.44813",111.63405,241.6663,240.88295,195.80085,176.1415,0.1
"10750",27,"9","CHOYP_PAN2.1.1.m.44691",441.7236,0.1,0.1,296.0909,964.1086,0.1
"10904",1,"9","CHOYP_TBA.1.6.m.12217",34.45415,140.54485,183.0576,83.7,50.3576,0.1
"10916",2,"9","CHOYP_TBB4B.7.7.m.63980",261.08445,359.34275,260.92085,285.65025,176.5041,192.195
"11011",2,"9","CHOYP_VOLCADRAFT_93060.2.2.m.26741",284.42,182.0209,166.2589,183.36395,193.93855,157.5121
"11111",3,"9","COF1.YALI0F20856g",303.20255,370.01345,259.1985,229.80995,270.9148,478.2411
"11678",21,"9","eef1a.ef1a",739.42795,731.18665,710.73345,784.8577,746.1566,708.48805
"11752",2,"9","EIF5A",311.9791,287.03825,194.38305,305.7476,245.66555,292.33845
"11779",2,"9","ENO1",148.02745,182.30925,208.96075,184.8943,208.1377,194.5305
"12867",2,"9","MAMDC2",156.9361,146.4434,137.77545,171.95635,188.64875,254.53105
"13935",4,"9","Postn.Osf2",503.55835,129.41815,60.6951,37.78655,49.17855,28.594
"14470",7,"9","RPS3A.KRP.A",162.87345,182.7894,173.63305,88.90715,171.7772,0.1
"14768",3,"9","slr1101.1",231.0322,384.48075,344.3579,386.66005,395.00455,523.60335
"15074",9,"9","Tagln3.Np25",317.2425,280.77695,257.51455,361.24375,467.86335,423.168
"15475",28,"9","TUB.A",575.2672,265.15795,367.6797,401.77685,635.2697,567.3892
