"","Protein","X0","X3","X5","X7","X9","X11","X13","X15"
"70","3_CHOYP_FIBP.1.1|m.36402",0,0,0,0,0,0.5,0,0
"71","3_CHOYP_LOC100367880.1.1|m.12770",0,0,0.5,0,0,0,0,0
"72","3_CHOYP_LOC100369290.1.1|m.66929",0,0,0,0,0,0,0,0.5
"73","3_CHOYP_LOC100375838.1.1|m.39473",0,0,0,0,0,0.5,0,0
"74","3_CHOYP_LOC100640260.1.2|m.21931",1.5,0.5,0,0,0,0,0,0
"75","3_CHOYP_LOC100645183.1.1|m.53488",0,0,0,0,0.5,0,0,0
"76","3_CHOYP_LOC100703956.1.1|m.31550",0,0,0,0,0,0,0.5,0
"77","3_CHOYP_LOC101162499.1.1|m.47400",0,0.5,0,0,0,0,0,0
"78","3_CHOYP_LOC589839.1.1|m.29309",0,0.5,0,0,0,0,0,0
"79","3_CHOYP_MYO22.2.2|m.24750",0,0,0,0,0,0.5,0,0
"80","3_CHOYP_NEMVEDRAFT_V1G168923.1.1|m.29344",0,0,0,0,0,0,0,0.5
"81","3_CHOYP_PCS-1.1.1|m.8305",0,0,0,0,0,0,0.5,0
"82","3_CHOYP_PTPRA.2.22|m.3118",0,0,0,0,0,0,0,0.5
"83","3_CHOYP_PTPRA.9.22|m.46545",0,0,0,0,0,0.5,0,0
"84","3_CHOYP_PTPRT.6.45|m.24275",0.5,0,0,0,0,0.5,0,0
"85","3_CHOYP_TBB2.2.2|m.53001",0,0,0,0,0,0,0.5,0
"86","3_CHOYP_TDRD1.1.1|m.34821",0,0,0,0,0,0,0,0.5
"87","3_CHOYP_contig_047066|m.55375",0,0,0,0.5,0,0,0,0
"88","3_CHOYP_ACBD5.1.2|m.16744",0,0,0.5,0,0,0,0,0
"89","3_CHOYP_BRAFLDRAFT_74594.2.3|m.1285",0,0,0,0,0,0.5,0,0
"90","3_CHOYP_BRAFLDRAFT_91316.1.1|m.46558",1,0,0,0,0,0.5,0,0
"91","3_CHOYP_BRAFLDRAFT_92410.1.1|m.36946",0,0,0,0,0,0,0.5,0
"92","3_CHOYP_COPA.1.1|m.31889",0,0,0,0,0.5,0,0,0
"93","3_CHOYP_DTX3L.2.4|m.51200",1,0,0,0,0,0,0.5,0
"94","3_CHOYP_LOC100121999.3.4|m.54805",0.5,0,0,0,0,0.5,0,0
"95","3_CHOYP_LOC100369929.1.5|m.32680",0,0,0.5,0,0,0,0,0
"96","3_CHOYP_LOC100375647.1.2|m.39652",0,0,0,0,0,0.5,0,0
"97","3_CHOYP_LOC100376296.1.1|m.36837",0,0,0,0,0,0,0.5,0
"98","3_CHOYP_LOC100564140.2.2|m.10031",0,0,0.5,0,0,0,0,0
"99","3_CHOYP_LOC755594.5.6|m.54446",0,0,0,0,0.5,0,0,0
"100","3_CHOYP_MANL.2.9|m.16934",0,0,0,0,0,0.5,0,0
"101","3_CHOYP_NEMVEDRAFT_V1G244077.1.1|m.14957",0,0,0.5,0,0,0,0,0
"102","3_CHOYP_PCDH9.4.5|m.58558",0,0,0,0,0,0.5,0,0
"103","3_CHOYP_RN213.6.13|m.42268",0,0,0,0.5,0,0,0,0
"104","3_CHOYP_SRCR12.1.1|m.53668",0,0,0,0,0.5,0,0,0
"105","3_CHOYP_STIM1.1.1|m.13316",0,0,0,0,0,0,0.5,0
"106","3_CHOYP_TIAP2.12.13|m.62840",1.5,0,0,0,0,0,0,0.5
"107","3_CHOYP_BRAFLDRAFT_126480.1.1|m.31307",0,0,0,0,0,0,0,0.5
"108","3_CHOYP_BRAFLDRAFT_128345.1.1|m.9897",1,0.5,0,0,0,0,0,0
"109","3_CHOYP_BRAFLDRAFT_80577.2.6|m.24330",0,0,0,0,0,0,0.5,0
"110","3_CHOYP_CTRA.1.2|m.26705",4.5,0.5,0,0,0,0,0,0
"111","3_CHOYP_DGRI_GH24618.1.2|m.1995",0,0,0,0,0.5,0,0,0
"112","3_CHOYP_DMOJ_GI18925.1.1|m.37775",0.5,0,0,0,0,0,0.5,0
"113","3_CHOYP_ENPP3.1.1|m.13519",0,0,0,0,0,0,0,0.5
"114","3_CHOYP_IVBI.2.2|m.67049",0.5,0.5,0,0,0,0,0,0
"115","3_CHOYP_KI21A.1.2|m.43900",0.5,0,0,0.5,0,0,0,0
"116","3_CHOYP_LOC100083076.1.1|m.35327",0,0,0,0,0,0.5,0,0
"117","3_CHOYP_LOC100368715.1.3|m.31823",0,0,0,0,0,0.5,0,0
"118","3_CHOYP_LOC100637925.1.4|m.34491",0,0,0,0,0,0.5,0,0
"119","3_CHOYP_LOC100877549.1.1|m.8321",0,0.5,0,0,0,0,0,0
"120","3_CHOYP_LOC101068378.2.3|m.20090",0,0.5,0,0,0,0,0,0
"121","3_CHOYP_LOC590657.1.1|m.634",0.5,0,0,0,0,0.5,0,0
"122","3_CHOYP_SAC1.1.1|m.40164",0.5,0,0,0,0,0,0,0.5
"123","3_CHOYP_TBL2.1.1|m.29917",0,0,0,0,0,0,0.5,0
"124","3_CHOYP_UBE2Z.1.1|m.61760",0,0.5,0,0,0,0,0,0
"125","3_CHOYP_YTDC1.1.2|m.56405",0,0,0,0,0,0.5,0,0
"126","3_CHOYP_BRAFLDRAFT_57175.1.1|m.7616",0,0,0,0,0,0.5,0,0
"127","3_CHOYP_BRAFLDRAFT_57788.8.10|m.49717",0,0,0,0,0,0.5,0,0
"128","3_CHOYP_BRAFLDRAFT_82426.1.20|m.8067",0,0,0,0.5,0,0,0,0
