E05,19,Unkn-03,3,,36.6615203573549,NaN,36.5633979043554,0.138766103805226,None,None
E06,TIF3s6B,Unkn-46,46,54,26.6240270555984,NaN,26.5942492722832,0.0421121450217838,81.2,3740.6234129988
E07,TIF3s6B,Unkn-39,39,31,17.1121959554737,NaN,17.0703102666834,0.0592353091565685,81.4,3388.42346614125
E08,TIF3s6B,Unkn-35,35,19,29.8650138997978,NaN,30.0307901955639,0.234443085792436,81.4,4191.06656468868
E09,RPL5,Unkn-31,31,57,18.7945002742341,NaN,19.2731289409583,0.676883151821946,None,None
E10,RPL5,Unkn-27,27,39,31.7371840404297,NaN,31.968687924488,0.327395932577292,None,None
E12,TIF3s6B,Unkn-43,43,61,19.7269839991126,NaN,18.004252030064,2.43631091496222,None,None
F01,RPL5,Unkn-19,19,27,19.1384300657348,NaN,19.1123234784804,0.0369202897624368,None,None
F02,SPTN1,Unkn-15,15,61,24.2121903084075,NaN,24.3399876267681,0.180732700860512,82.2,2182.93871512935
F03,SPTN1,Unkn-11,11,54,35.4316740300894,NaN,35.327418372456,0.147439764979334,None,None
F04,SPTN1,Unkn-07,7,31,24.9530259207995,NaN,25.0129223372348,0.0847063244602811,82,1983.90873475544
F05,19,Unkn-03,3,,36.4652754513559,NaN,36.5633979043554,0.138766103805226,None,None
F06,TIF3s6B,Unkn-46,46,54,26.564471488968,NaN,26.5942492722832,0.0421121450217838,81.2,3936.16035467022
F07,TIF3s6B,Unkn-39,39,31,17.0284245778931,NaN,17.0703102666834,0.0592353091565685,81.4,3420.60459681278
F08,TIF3s6B,Unkn-35,35,19,30.1965664913301,NaN,30.0307901955639,0.234443085792436,81.4,4063.4209276226
F09,RPL5,Unkn-31,31,57,19.7517576076825,NaN,19.2731289409583,0.676883151821946,None,None
F10,RPL5,Unkn-27,27,39,32.2001918085463,NaN,31.968687924488,0.327395932577292,None,None
F12,TIF3s6B,Unkn-43,43,61,16.2815200610154,NaN,18.004252030064,2.43631091496222,81.4,3132.44235913982
G01,RPL5,Unkn-20,20,28,30.1049038450521,NaN,30.2464243971036,0.200140284065751,None,None
G02,SPTN1,NTC,,H2O,36.0216840859488,NaN,36.0216840859488,0,None,None
G03,SPTN1,Unkn-12,12,55,34.3396947998391,NaN,35.0473330562479,1.00075161946736,None,None
G04,SPTN1,Unkn-08,8,37,34.6900445968088,NaN,36.1740621386935,2.09871773453282,None,None
G05,SPTN1,Unkn-04,4,21,31.9098289739767,NaN,32.3432030884175,0.612883550223532,None,None
G06,TIF3s6B,Unkn-47,47,55,23.4059203132563,NaN,23.4518256569582,0.064919959648731,81.2,4111.13637798666
G07,TIF3s6B,Unkn-40,40,37,31.5694219418557,NaN,31.8353108435934,0.376023690921935,81.2,2647.08813478592
G08,TIF3s6B,Unkn-36,36,21,30.1433361284908,NaN,30.1848478696482,0.0587064673424841,81.8,3206.48023635121
G09,RPL5,Unkn-32,32,59,26.0520535960472,NaN,26.070864697248,0.0266029144412966,None,None
G10,RPL5,Unkn-28,28,43,25.1112586319178,NaN,25.2000964249685,0.12563561178369,None,None
G12,TIF3s6B,NTC,,H2O,33.0531106451045,NaN,33.0531106451045,0,81.2,4040.47227307196
H01,RPL5,Unkn-20,20,28,30.3879449491551,NaN,30.2464243971036,0.200140284065751,None,None
H02,SPTN1,NTC,,H2O,36.7290583138037,NaN,36.7290583138037,0,None,None
H03,SPTN1,Unkn-12,12,55,35.7549713126567,NaN,35.0473330562479,1.00075161946736,None,None
H04,SPTN1,Unkn-08,8,37,37.6580796805781,NaN,36.1740621386935,2.09871773453282,None,None
H05,SPTN1,Unkn-04,4,21,32.7765772028582,NaN,32.3432030884175,0.612883550223532,None,None
H06,TIF3s6B,Unkn-47,47,55,23.4977310006602,NaN,23.4518256569582,0.064919959648731,81.4,3857.3522366123
H07,TIF3s6B,Unkn-40,40,37,32.1011997453311,NaN,31.8353108435934,0.376023690921935,81.6,3066.88168509972
H08,TIF3s6B,Unkn-36,36,21,30.2263596108056,NaN,30.1848478696482,0.0587064673424841,81.6,3151.96655133446
H09,RPL5,Unkn-32,32,59,26.0896757984488,NaN,26.070864697248,0.0266029144412966,None,None
H10,RPL5,Unkn-28,28,43,25.2889342180193,NaN,25.2000964249685,0.12563561178369,None,None
H12,TIF3s6B,NTC,,H2O,28.9958120440113,NaN,28.9958120440113,0,81.2,2913.60509624044
