"Cluster","Silo","ID","D0","D3","D5","D7","D9","D11","D13"
13,"3","CHOYP_ACT3.1.3.m.23292",0.1,0.1,0.1,0.1,0.1,0.1,0.1
16,"3","CHOYP_ACT3A.1.1.m.25941",0.1,2.27745,2.26975,0.1,0.1,0.1,0.1
8,"3","CHOYP_ACT5.3.3.m.41147",0.1,20.47925,0.1,20.317,25.32515,18.8812,19.9497
13,"3","CHOYP_ACTN.2.2.m.63975",0.1,0.1,0.1,0.1,0.1,0.1,0.1
27,"3","CHOYP_ACTP1.1.1.m.30455",0.1,0.1,0.1,0.1,0.1,0.1,5.7682
2,"3","CHOYP_ADA17.1.3.m.798",9.98055,4.84605,4.9565,0.1,10.1373,5.41825,6.683
27,"3","CHOYP_ADA17.3.3.m.54971",0.1,0.1,0.1,3.0882,3.22255,0.1,6.04255
17,"3","CHOYP_ADAL.1.1.m.57556",6.29455,6.05725,3.0544,1.6252,0.1,5.12505,4.17865
14,"3","CHOYP_ADAMTS12.1.2.m.29930",6.68805,5.42525,1.0208,0.4025,0.4059,0.1,0.1
2,"3","CHOYP_AFG32.1.1.m.59373",3.1805,3.0662,12.14305,9.54615,9.6785,13.78295,20.8342
7,"3","CHOYP_AFURIN2.1.1.m.59865",1.0461,0.1,1.51625,1.06745,0.59675,1.17535,0.1
22,"3","CHOYP_AGAP_AGAP000232.1.1.m.1999",2.08785,1.0268,0.1,0.1,0.1,0.1,0.1
7,"3","CHOYP_AGAP_AGAP000991.1.1.m.5123",0.1,0.1,1.2422,0.1,1.3081,0.1,0.1
16,"3","CHOYP_AGAP_AGAP002199.1.1.m.25337",1.48905,2.1539,2.1771,3.0388,0.8025,0.1,0.1
3,"3","CHOYP_AGAP_AGAP002350.1.1.m.37286",1.85295,3.46565,3.49075,5.54015,5.5152,7.8451,9.55125
17,"3","CHOYP_AGAP_AGAP002739.3.5.m.47030",2.0493,0.6589,1.5502,1.16645,1.88095,3.95395,1.81375
23,"3","CHOYP_AGAP_AGAP004136.1.3.m.24172",1.0829,1.04345,2.62055,0.592,1.6605,0.1,0.7681
23,"3","CHOYP_AGAP_AGAP004136.3.3.m.44418",1.1316,1.09035,2.7383,0.61635,1.7351,0.65865,0.8004
13,"3","CHOYP_AGAP_AGAP004179.1.1.m.33303",1.3593,1.3115,0.1,0.1,0.1,0.1,0.1
10,"3","CHOYP_AGAP_AGAP004499.1.1.m.13546",0.1,0.1,0.1,0.1,0.8977,0.92245,0.1
6,"3","CHOYP_AGAP_AGAP004861.2.2.m.54567",0.1,0.1,1.9345,0.1,0.1,0.1,0.1
5,"3","CHOYP_AGAP_AGAP006478.1.1.m.44472",26.98225,36.93195,26.24365,21.7113,17.66785,15.48905,28.2885
19,"3","CHOYP_AGAP_AGAP006590.1.1.m.42108",0.1,0.3366,0.33415,0.1,0.1,0.1,0.4435
6,"3","CHOYP_AGAP_AGAP006810.1.2.m.12514",0.1,0.1,2.9333,0.1,0.1,0.1,0.1
20,"3","CHOYP_AGAP_AGAP007340.1.2.m.2953",0.1,1.04695,0.1,0.1,1.13425,0.1,0.1
27,"3","CHOYP_AGAP_AGAP010186.1.1.m.62505",0.1,0.1,0.1,0.1,0.1,0.1,6.12135
13,"3","CHOYP_AGAP_AGAP010490.1.1.m.51445",0.66065,0.52615,0.1,0.1,0.1,0.22765,0.1
20,"3","CHOYP_AGAP_AGAP013102.1.1.m.50186",0.1,0.1,0.1,0.1,3.64625,0.1,0.1
13,"3","CHOYP_AGO2.1.1.m.17145",0.1,0.1,0.1,0.1,0.1,0.1,0.1
17,"3","CHOYP_AGPS.1.1.m.62910",0.9442,1.76455,0.927,1.82035,2.7662,1.9455,2.3686
13,"3","CHOYP_AGSA.1.1.m.5200",0.1,0.1,0.1,0.1,0.1,0.1,0.1
7,"3","CHOYP_AHCTF1.1.1.m.17461",0.1,0.26835,0.1,0.4637,0.46715,0.5523,0.352
13,"3","CHOYP_AJL2.1.1.m.26431",0.1,0.1,0.1,0.1,0.1,0.1,0.1
14,"3","CHOYP_AKD1.2.3.m.49697",9.3731,14.2801,0.1,0.1,0.1,2.2142,0.1
7,"3","CHOYP_AKP13.1.5.m.12951",0.58065,0.61085,0.6061,0.6312,0.63685,0.3623,0.1
3,"3","CHOYP_ALF.3.3.m.66837",0.1,0.1,0.1,0.1,1.67275,8.77845,10.6563
13,"3","CHOYP_ALKB8.1.2.m.27789",0.1,0.1,0.1,0.84665,0.1,0.1,0.1
8,"3","CHOYP_ALPHATUB84D.1.1.m.16562",0.1,0.1,31.2574,25.41815,0.1,0.1,0.1
19,"3","CHOYP_ALS2.1.3.m.33568",0.9876,0.1,0.1,0.1,0.3938,0.40385,0.48625
2,"3","CHOYP_ALS2.2.3.m.37861",7.23105,4.64095,0.1,2.46075,2.4841,5.2528,6.3952
2,"3","CHOYP_AMACR.1.1.m.21950",4.3694,4.20995,2.8293,4.49045,2.9969,4.74745,1.98755
2,"3","CHOYP_AMDHD2.2.2.m.52160",1.8745,1.80615,3.6384,3.86175,3.8539,1.086,3.73185
13,"3","CHOYP_AMO.1.5.m.28337",0.1,0.1,0.1,0.1,0.1,0.1,0.1
13,"3","CHOYP_AMO.5.5.m.66428",0.1,0.1,0.1,0.1,0.1,0.1,0.1
17,"3","CHOYP_AMRP.1.1.m.36070",1.5968,1.5404,2.99485,3.1488,1.60945,0.1,2.09635
7,"3","CHOYP_AMY.2.3.m.15473",0.1,0.1,2.00205,2.1143,2.0566,0.1,2.68895
17,"3","CHOYP_AN13B.1.1.m.15287",0.1,0.9314,3.56005,0.968,2.8124,1.0637,1.2663
7,"3","CHOYP_ANGP4.3.7.m.24608",0.1,0.1,0.1,1.0806,1.1262,1.18805,1.4155
27,"3","CHOYP_ANGP4.4.7.m.33574",0.1,0.1,0.1,0.1,2.77765,0.1,5.3833
35,"3","CHOYP_ANK.2.3.m.19487",9.35565,1.9267,11.83485,0.1,0.1,0.1,2.05405
40,"3","CHOYP_ANK3.7.9.m.43272",0.1,0.7483,0.7608,0.1,5.75935,1.0005,0.1
21,"3","CHOYP_ANKK1.1.1.m.56194",0.1,0.1,0.9906,4.93655,1.05,5.2024,2.5404
22,"3","CHOYP_ANKRD5.1.2.m.11711",4.9665,4.78185,1.37665,0.75995,0.1,0.83395,0.1
13,"3","CHOYP_ANLN.1.1.m.6530",0.1,0.1,0.1,0.1,0.4751,0.1,0.1
21,"3","CHOYP_ANM12.1.1.m.53881",0.1,0.1,2.02325,4.0957,2.0784,0.1,0.1
2,"3","CHOYP_ANT_25430.1.2.m.613",0.1,4.04325,8.08825,4.25055,2.1706,0.1,0.1
22,"3","CHOYP_ANXA7.1.4.m.4514",3.1065,2.39335,0.1,0.1,0.1,0.1,0.1
11,"3","CHOYP_AOF.1.1.m.7109",0.1,1.06985,2.13665,0.1,0.1,3.4874,2.8647
8,"3","CHOYP_AP1G1.1.1.m.13111",21.3336,23.77145,29.8082,25.23035,26.0845,23.2418,26.5504
18,"3","CHOYP_AP2S1.1.1.m.61530",0.1,3.7728,0.1,0.1,0.1,4.21695,0.1
13,"3","CHOYP_APBP2.1.1.m.62244",0.1,0.1,0.1,0.1,0.1,0.1,0.1
19,"3","CHOYP_APLA.1.2.m.191",0.1,0.1,0.1,0.1,0.1,0.1,0.4076
2,"3","CHOYP_APLP.1.2.m.5955",2.47825,4.7871,1.96365,4.0345,3.8492,2.6518,0.808
2,"3","CHOYP_APLP.2.2.m.55987",5.448,4.85015,1.9895,4.08765,3.8999,2.6867,0.8187
