"clust.class","Freq"
"1",251
"2",4445
"3",4013
"4",1480
"5",1160
"6",3487
"7",579
"8",86
"9",291
"10",32
"11",60
"12",54
"13",12
"14",1
"15",1
"16",1
"17",3
