"Cluster","Silo","ID","D3","D5","D7","D9","D11","D13"
1,"3","CHOYP_ARMC6.1.1.m.28786",3.39655,6.84805,8.42295,8.44235,2.56505,0.1
3,"3","CHOYP_ARMC9.1.1.m.57265",0.1,0.1,0.7008,0.1,1.44875,1.7264
4,"3","CHOYP_ASCC2.1.1.m.34978",0.1,1.4666,0.1,0.79745,0.1,0.1
4,"3","CHOYP_ASCC3.1.1.m.51755",0.53395,0.5451,0.51385,0.3132,0.86255,0.66855
5,"3","CHOYP_ASGR2.3.4.m.47793",0.1,0.1,0.1,3.4637,0.1,0.1
4,"3","CHOYP_ASPM.1.4.m.6650",0.1,0.1,0.1,0.1,0.1,0.1
4,"3","CHOYP_AT10A.1.1.m.56662",0.1,0.1,0.1,0.1,0.1,0.1
3,"3","CHOYP_ATRP.1.1.m.22451",4.9142,4.87295,5.0907,0.1,0.1,0.1
3,"3","CHOYP_ATS10.1.1.m.43473",0.1,0.98005,1.03045,1.03815,0.1,0.1
4,"3","CHOYP_ATS16.2.4.m.14579",2.19455,1.0726,0.4204,0.424,0.1,0.1
1,"3","CHOYP_AUHM.1.2.m.28847",0.1,0.1,0.1,21.0049,0.1,0.1
3,"3","CHOYP_B3GT2.1.1.m.35771",0.1,0.1,1.5486,1.61485,0.1,2.0399
1,"3","CHOYP_BAG6A.1.1.m.25802",6.4006,7.6667,8.41935,7.24385,4.07855,6.0605
3,"3","CHOYP_BAI1.1.2.m.4434",1.0804,0.60125,0.1,0.63605,0.6697,0.7952
1,"3","CHOYP_BAP18.1.1.m.48944",6.1346,6.179,9.8067,6.7051,0.1,0.1
3,"3","CHOYP_BAT1.4.4.m.32273",0.1,0.1,1.1634,0.1,0.1,1.52845
3,"3","CHOYP_BBOV_II003210.5.13.m.30678",3.03915,6.0064,0.1,6.3622,3.4705,0.1
4,"3","CHOYP_BBS4.1.1.m.50943",2.6887,0.94165,0.1,0.9909,1.05145,0.1
1,"3","CHOYP_BET1L.1.1.m.8210",4.50885,8.95955,4.84955,9.4903,0.1,0.1
1,"3","CHOYP_BICD2.1.1.m.9177",3.9437,10.6099,7.64355,10.57775,1.4879,6.33905
