"clust.class","Freq"
"1",246
"2",3768
"3",662
"4",3939
"5",1197
"6",1160
"7",3487
"8",579
"9",86
"10",283
"11",291
"12",74
"13",32
"14",60
"15",41
"16",12
"17",13
"18",15
"19",5
"20",1
"21",1
"22",1
"23",3
