"Cluster","Silo","ID","D3","D5","D7","D9","D11","D13"
7,"3","CHOYP_2A5D.2.3.m.32240",0.1,6.0568,0.1,0.1,11.00355,0.1
9,"3","CHOYP_2AAA.1.1.m.13307",0.1,1.5075,0.1,0.1,1.73205,0.1
8,"3","CHOYP_3BP2.2.3.m.19302",1.28805,0.1,0.1,2.64845,0.1,0.1
7,"3","CHOYP_41.2.3.m.31169",0.1,0.1,0.1,1.3958,5.8347,0.1
5,"3","CHOYP_4ET.1.1.m.1941",1.44245,1.4529,1.6066,1.53895,0.85525,1.04275
10,"3","CHOYP_A2M.2.3.m.54214",0.1,0.71685,0.1,0.1,0.1,0.1
9,"3","CHOYP_AAEL_AAEL001503.1.1.m.10649",0.1,0.1,0.58935,0.1,0.6456,0.1
6,"3","CHOYP_AAEL_AAEL002467.1.2.m.47358",0.1,0.1,0.1,0.1,0.1,0.1
9,"3","CHOYP_AAEL_AAEL003853.1.2.m.39529",0.1,0.1,0.1,0.1,1.05045,0.1
4,"3","CHOYP_AAEL_AAEL004399.1.1.m.3003",0.1,0.7291,0.1,1.42,0.1,1.83405
8,"3","CHOYP_AAEL_AAEL004839.1.1.m.13815",1.51835,0.1,0.1,0.1,0.1,0.1
6,"3","CHOYP_AAEL_AAEL006988.1.1.m.49733",0.1,0.1,0.1,0.1,0.1,0.1
5,"3","CHOYP_AAEL_AAEL007437.1.1.m.29443",0.1,0.1,3.95475,4.1274,0.1,0.1
8,"3","CHOYP_AAEL_AAEL007549.1.1.m.13827",2.8519,0.1,0.1,0.1,0.1,0.1
5,"3","CHOYP_AAEL_AAEL007787.1.1.m.13188",0.1,1.74535,1.83505,2.7576,0.1,0.1
11,"3","CHOYP_AAEL_AAEL008069.2.2.m.60921",0.1,0.1,0.1,2.9163,0.1,0.1
6,"3","CHOYP_AAEL_AAEL010626.1.1.m.52019",0.1,0.1,0.1,0.1,0.1,0.1
8,"3","CHOYP_AAEL_AAEL010939.1.1.m.64870",5.4383,0.1,0.1,0.1,2.52885,0.1
2,"3","CHOYP_AAEL_AAEL011391.1.1.m.10090",2.68575,9.25115,4.15,5.61005,4.5742,9.0592
4,"3","CHOYP_AAEL_AAEL011814.1.1.m.48797",0.1,1.97785,1.06935,4.0313,1.13365,0.1
6,"3","CHOYP_AAEL_AAEL013229.2.2.m.57593",0.1,0.1,0.1,0.1,0.1,0.1
8,"3","CHOYP_AAEL_AAEL015271.1.1.m.56223",5.44605,0.1,0.1,0.1,3.17385,0.1
9,"3","CHOYP_AAK1.1.1.m.14769",0.9987,0.1,0.1,0.1,1.1065,0.1
9,"3","CHOYP_AASI_1435.2.35.m.17918",0.1,0.1,1.28765,0.1,1.38005,0.1
6,"3","CHOYP_AASI_1435.28.35.m.60443",0.1,0.1,0.1,0.84525,0.1,0.1
9,"3","CHOYP_AASI_1435.35.35.m.65339",0.3315,0.1,0.3432,0.34605,0.6389,0.1
10,"3","CHOYP_AATF.1.1.m.34004",0.1,1.8537,0.1,1.9635,0.1,0.1
5,"3","CHOYP_ABL1.1.1.m.55647",1.68495,1.2673,0.8922,0.96395,0.9906,1.78945
11,"3","CHOYP_ACA1_394750.1.2.m.54181",0.1,0.1,0.1,1.45875,0.1,0.1
6,"3","CHOYP_ACAC.2.2.m.58115",0.1,0.1,0.1,0.1,0.1,0.1
1,"3","CHOYP_ACADL.1.1.m.5508",38.80295,43.79545,43.5498,38.9021,38.6404,45.3615
10,"3","CHOYP_ACBD5.1.2.m.16744",0.1,0.9647,0.1,0.1,0.1,0.1
5,"3","CHOYP_ACDOPBH.8.9.m.52946",0.1,0.1,4.03945,0.1,0.1,0.1
6,"3","CHOYP_ACDOPBH.9.9.m.63296",0.1,0.1,0.1,0.1,0.1,0.1
6,"3","CHOYP_ACE.2.4.m.5302",0.1,0.1,0.2882,0.1,0.49965,0.3538
8,"3","CHOYP_ACE.4.4.m.17563",1.093,0.1,0.1,0.1,0.1,0.1
11,"3","CHOYP_ACH5.1.1.m.3951",0.1,0.1,0.1,2.0784,0.1,0.1
